epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1646672814068,2022-03-07T12:06:54.068,0.000,97733.969
1646672814204,2022-03-07T12:06:54.204,0.136,97737.023
1646672814340,2022-03-07T12:06:54.340,0.272,97734.344
1646672814475,2022-03-07T12:06:54.475,0.407,97728.797
1646672814611,2022-03-07T12:06:54.611,0.543,97728.984
1646672814747,2022-03-07T12:06:54.747,0.679,97731.672
1646672814882,2022-03-07T12:06:54.882,0.814,97732.602
1646672815018,2022-03-07T12:06:55.018,0.950,97737.188
1646672815153,2022-03-07T12:06:55.153,1.085,97733.164
1646672815289,2022-03-07T12:06:55.289,1.221,97729.141
1646672815426,2022-03-07T12:06:55.426,1.358,97738.523
1646672815560,2022-03-07T12:06:55.560,1.492,97733.008
1646672815697,2022-03-07T12:06:55.697,1.629,97733.750
1646672815833,2022-03-07T12:06:55.833,1.765,97733.750
1646672815968,2022-03-07T12:06:55.968,1.900,97733.750
1646672816104,2022-03-07T12:06:56.104,2.036,97731.828
1646672816240,2022-03-07T12:06:56.240,2.172,97737.188
1646672816375,2022-03-07T12:06:56.375,2.307,97734.344
1646672816511,2022-03-07T12:06:56.511,2.443,97733.164
1646672816646,2022-03-07T12:06:56.646,2.578,97732.422
1646672816782,2022-03-07T12:06:56.782,2.714,97737.188
1646672816918,2022-03-07T12:06:56.918,2.850,97731.828
1646672817053,2022-03-07T12:06:57.053,2.985,97730.328
1646672817189,2022-03-07T12:06:57.189,3.121,97731.078
1646672817326,2022-03-07T12:06:57.326,3.258,97727.805
1646672817460,2022-03-07T12:06:57.460,3.392,97733.164
1646672817597,2022-03-07T12:06:57.597,3.529,97727.805
1646672817731,2022-03-07T12:06:57.731,3.663,97724.969
1646672817868,2022-03-07T12:06:57.868,3.800,97730.484
1646672818004,2022-03-07T12:06:58.004,3.936,97727.805
1646672818139,2022-03-07T12:06:58.139,4.071,97729.328
1646672818275,2022-03-07T12:06:58.275,4.207,97730.484
1646672818411,2022-03-07T12:06:58.411,4.343,97729.141
1646672818546,2022-03-07T12:06:58.546,4.478,97730.484
1646672818682,2022-03-07T12:06:58.682,4.614,97733.164
1646672818817,2022-03-07T12:06:58.817,4.749,97729.141
1646672818953,2022-03-07T12:06:58.953,4.885,97729.922
1646672819089,2022-03-07T12:06:59.089,5.021,97729.328
1646672819225,2022-03-07T12:06:59.225,5.157,97723.031
1646672819360,2022-03-07T12:06:59.360,5.292,97726.469
1646672819496,2022-03-07T12:06:59.496,5.428,97732.016
1646672819631,2022-03-07T12:06:59.631,5.563,97729.922
1646672819767,2022-03-07T12:06:59.767,5.699,97729.922
1646672819902,2022-03-07T12:06:59.902,5.834,97727.250
1646672820038,2022-03-07T12:07:00.038,5.970,97725.906
1646672820175,2022-03-07T12:07:00.175,6.107,97729.922
1646672820309,2022-03-07T12:07:00.309,6.241,97727.250
1646672820446,2022-03-07T12:07:00.446,6.378,97728.000
1646672820582,2022-03-07T12:07:00.582,6.514,97725.125
1646672820717,2022-03-07T12:07:00.717,6.649,97734.875
1646672820853,2022-03-07T12:07:00.853,6.785,97727.805
1646672820989,2022-03-07T12:07:00.989,6.921,97733.547
1646672821125,2022-03-07T12:07:01.125,7.057,97730.078
1646672821260,2022-03-07T12:07:01.260,7.192,97734.688
1646672821396,2022-03-07T12:07:01.396,7.328,97732.953
1646672821531,2022-03-07T12:07:01.531,7.463,97726.656
1646672821667,2022-03-07T12:07:01.667,7.599,97730.078
1646672821804,2022-03-07T12:07:01.804,7.736,97733.547
1646672821938,2022-03-07T12:07:01.938,7.870,97729.922
1646672822075,2022-03-07T12:07:02.075,8.007,97730.078
1646672822211,2022-03-07T12:07:02.211,8.143,97730.672
1646672822346,2022-03-07T12:07:02.346,8.278,97734.102
1646672822482,2022-03-07T12:07:02.482,8.414,97730.078
1646672822617,2022-03-07T12:07:02.617,8.549,97738.898
1646672822753,2022-03-07T12:07:02.753,8.685,97739.461
1646672822889,2022-03-07T12:07:02.889,8.821,97740.797
1646672823025,2022-03-07T12:07:03.025,8.957,97738.125
1646672823160,2022-03-07T12:07:03.160,9.092,97738.719
1646672823296,2022-03-07T12:07:03.296,9.228,97740.242
1646672823433,2022-03-07T12:07:03.433,9.365,97736.781
1646672823567,2022-03-07T12:07:03.567,9.499,97736.969
1646672823704,2022-03-07T12:07:03.704,9.636,97737.719
1646672823838,2022-03-07T12:07:03.838,9.770,97738.898
1646672823975,2022-03-07T12:07:03.975,9.907,97734.875
1646672824111,2022-03-07T12:07:04.111,10.043,97730.078
1646672824246,2022-03-07T12:07:04.246,10.178,97734.875
1646672824382,2022-03-07T12:07:04.382,10.314,97731.609
1646672824518,2022-03-07T12:07:04.518,10.450,97735.438
1646672824653,2022-03-07T12:07:04.653,10.585,97733.547
1646672824789,2022-03-07T12:07:04.789,10.721,97735.625
1646672824925,2022-03-07T12:07:04.925,10.857,97736.219
1646672825060,2022-03-07T12:07:05.060,10.992,97728.180
1646672825196,2022-03-07T12:07:05.196,11.128,97733.547
1646672825332,2022-03-07T12:07:05.332,11.264,97736.219
1646672825467,2022-03-07T12:07:05.467,11.399,97734.102
1646672825603,2022-03-07T12:07:05.603,11.535,97732.203
1646672825738,2022-03-07T12:07:05.738,11.670,97734.297
1646672825874,2022-03-07T12:07:05.874,11.806,97734.102
1646672826011,2022-03-07T12:07:06.011,11.943,97733.703
1646672826145,2022-03-07T12:07:06.145,12.077,97731.609
1646672826282,2022-03-07T12:07:06.282,12.214,97733.703
1646672826418,2022-03-07T12:07:06.418,12.350,97736.563
1646672826553,2022-03-07T12:07:06.553,12.485,97730.078
1646672826689,2022-03-07T12:07:06.689,12.621,97735.625
1646672826824,2022-03-07T12:07:06.824,12.756,97732.953
1646672826960,2022-03-07T12:07:06.960,12.892,97728.930
1646672827096,2022-03-07T12:07:07.096,13.028,97729.523
1646672827231,2022-03-07T12:07:07.231,13.163,97734.875
1646672827367,2022-03-07T12:07:07.367,13.299,97737.156
1646672827503,2022-03-07T12:07:07.503,13.435,97732.359
1646672827638,2022-03-07T12:07:07.638,13.570,97736.375
1646672827774,2022-03-07T12:07:07.774,13.706,97736.375
1646672827909,2022-03-07T12:07:07.909,13.841,97734.297
1646672828045,2022-03-07T12:07:08.045,13.977,97737.156
1646672828182,2022-03-07T12:07:08.182,14.114,97736.969
1646672828316,2022-03-07T12:07:08.316,14.248,97737.719
1646672828453,2022-03-07T12:07:08.453,14.385,97735.820
1646672828589,2022-03-07T12:07:08.589,14.521,97736.375
1646672828724,2022-03-07T12:07:08.724,14.656,97737.719
1646672828860,2022-03-07T12:07:08.860,14.792,97737.906
