epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1650900473155,2022-04-25T11:27:53.155,12.485,98445.219
1650900473291,2022-04-25T11:27:53.291,12.621,98453.148
1650900473426,2022-04-25T11:27:53.426,12.756,98451.500
1650900473562,2022-04-25T11:27:53.562,12.892,98454.453
1650900473697,2022-04-25T11:27:53.697,13.027,98455.750
1650900473833,2022-04-25T11:27:53.833,13.163,98454.453
1650900473969,2022-04-25T11:27:53.969,13.299,98454.453
1650900474104,2022-04-25T11:27:54.104,13.434,98453.656
1650900474240,2022-04-25T11:27:54.240,13.570,98453.656
1650900474377,2022-04-25T11:27:54.377,13.707,98453.148
1650900474511,2022-04-25T11:27:54.511,13.841,98452.352
1650900474648,2022-04-25T11:27:54.648,13.978,98449.250
1650900474782,2022-04-25T11:27:54.782,14.112,98449.750
1650900474919,2022-04-25T11:27:54.919,14.249,98453.148
1650900475055,2022-04-25T11:27:55.055,14.385,98449.750
1650900475189,2022-04-25T11:27:55.189,14.519,98452.797
1650900475326,2022-04-25T11:27:55.326,14.656,98451.844
1650900475462,2022-04-25T11:27:55.462,14.792,98447.594
1650900475597,2022-04-25T11:27:55.597,14.927,98450.547
1650900475733,2022-04-25T11:27:55.733,15.063,98451.844
1650900475869,2022-04-25T11:27:55.869,15.199,98454.453
1650900476005,2022-04-25T11:27:56.005,15.335,98452.641
1650900476140,2022-04-25T11:27:56.140,15.470,98451.047
1650900476276,2022-04-25T11:27:56.276,15.606,98451.500
1650900476411,2022-04-25T11:27:56.411,15.741,98450.547
1650900476547,2022-04-25T11:27:56.547,15.877,98451.844
1650900476682,2022-04-25T11:27:56.682,16.012,98447.938
1650900476818,2022-04-25T11:27:56.818,16.148,98452.352
1650900476955,2022-04-25T11:27:56.955,16.285,98447.938
1650900477089,2022-04-25T11:27:57.089,16.419,98451.844
1650900477226,2022-04-25T11:27:57.226,16.556,98456.031
1650900477362,2022-04-25T11:27:57.362,16.692,98456.250
1650900477497,2022-04-25T11:27:57.497,16.827,98452.352
1650900477633,2022-04-25T11:27:57.633,16.963,98453.656
1650900477769,2022-04-25T11:27:57.769,17.099,98451.500
1650900477904,2022-04-25T11:27:57.904,17.234,98454.453
1650900478040,2022-04-25T11:27:58.040,17.370,98453.148
1650900478175,2022-04-25T11:27:58.175,17.505,98453.148
1650900478311,2022-04-25T11:27:58.311,17.641,98454.453
1650900478447,2022-04-25T11:27:58.447,17.777,98451.844
1650900478582,2022-04-25T11:27:58.582,17.912,98453.148
