epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1650902065540,2022-04-25T11:54:25.540,0.000,0.199,-1.004,-0.140
1650902065550,2022-04-25T11:54:25.550,0.010,0.199,-1.012,-0.139
1650902065560,2022-04-25T11:54:25.560,0.020,0.200,-1.009,-0.138
1650902065570,2022-04-25T11:54:25.570,0.030,0.202,-1.012,-0.141
1650902065580,2022-04-25T11:54:25.580,0.040,0.206,-1.014,-0.140
1650902065590,2022-04-25T11:54:25.590,0.050,0.206,-1.009,-0.142
1650902065600,2022-04-25T11:54:25.600,0.060,0.209,-1.010,-0.143
1650902065610,2022-04-25T11:54:25.610,0.070,0.207,-1.009,-0.144
1650902065620,2022-04-25T11:54:25.620,0.080,0.204,-1.004,-0.143
1650902065630,2022-04-25T11:54:25.630,0.090,0.200,-1.003,-0.147
1650902065640,2022-04-25T11:54:25.640,0.100,0.203,-1.005,-0.146
1650902065650,2022-04-25T11:54:25.650,0.110,0.200,-1.003,-0.144
1650902065660,2022-04-25T11:54:25.660,0.120,0.202,-1.006,-0.147
1650902065670,2022-04-25T11:54:25.670,0.130,0.207,-1.011,-0.142
1650902065680,2022-04-25T11:54:25.680,0.140,0.208,-1.011,-0.144
1650902065690,2022-04-25T11:54:25.690,0.150,0.208,-1.007,-0.144
1650902065700,2022-04-25T11:54:25.700,0.160,0.208,-1.005,-0.144
1650902065710,2022-04-25T11:54:25.710,0.170,0.208,-1.000,-0.144
1650902065720,2022-04-25T11:54:25.720,0.180,0.206,-0.999,-0.144
1650902065730,2022-04-25T11:54:25.730,0.190,0.205,-1.002,-0.148
1650902065740,2022-04-25T11:54:25.740,0.200,0.208,-1.002,-0.145
1650902065750,2022-04-25T11:54:25.750,0.210,0.207,-1.003,-0.144
1650902065760,2022-04-25T11:54:25.760,0.220,0.207,-1.002,-0.146
1650902065770,2022-04-25T11:54:25.770,0.230,0.206,-1.001,-0.146
1650902065780,2022-04-25T11:54:25.780,0.240,0.206,-1.002,-0.144
1650902065790,2022-04-25T11:54:25.790,0.250,0.205,-1.003,-0.144
1650902065800,2022-04-25T11:54:25.800,0.260,0.204,-1.001,-0.144
1650902065810,2022-04-25T11:54:25.810,0.270,0.202,-1.001,-0.146
1650902065820,2022-04-25T11:54:25.820,0.280,0.201,-1.005,-0.142
1650902065830,2022-04-25T11:54:25.830,0.290,0.203,-1.007,-0.144
1650902065840,2022-04-25T11:54:25.840,0.300,0.201,-1.008,-0.141
1650902065850,2022-04-25T11:54:25.850,0.310,0.200,-1.007,-0.139
1650902065860,2022-04-25T11:54:25.860,0.320,0.202,-1.008,-0.138
1650902065870,2022-04-25T11:54:25.870,0.330,0.204,-1.007,-0.141
1650902065880,2022-04-25T11:54:25.880,0.340,0.202,-1.008,-0.142
1650902065890,2022-04-25T11:54:25.890,0.350,0.201,-1.012,-0.139
1650902065900,2022-04-25T11:54:25.900,0.360,0.200,-1.009,-0.138
1650902065910,2022-04-25T11:54:25.910,0.370,0.204,-1.009,-0.137
1650902065920,2022-04-25T11:54:25.920,0.380,0.203,-1.009,-0.138
1650902065930,2022-04-25T11:54:25.930,0.390,0.204,-1.010,-0.139
1650902065940,2022-04-25T11:54:25.940,0.400,0.204,-1.011,-0.138
1650902065950,2022-04-25T11:54:25.950,0.410,0.201,-1.009,-0.139
1650902065960,2022-04-25T11:54:25.960,0.420,0.202,-1.008,-0.138
1650902065970,2022-04-25T11:54:25.970,0.430,0.203,-1.008,-0.137
1650902065980,2022-04-25T11:54:25.980,0.440,0.203,-1.006,-0.136
1650902065990,2022-04-25T11:54:25.990,0.450,0.202,-1.006,-0.137
1650902066000,2022-04-25T11:54:26.000,0.460,0.204,-1.006,-0.140
1650902066010,2022-04-25T11:54:26.010,0.470,0.202,-1.004,-0.138
1650902066020,2022-04-25T11:54:26.020,0.480,0.201,-1.005,-0.137
1650902066030,2022-04-25T11:54:26.030,0.490,0.201,-1.006,-0.138
1650902066040,2022-04-25T11:54:26.040,0.500,0.199,-1.007,-0.139
1650902066050,2022-04-25T11:54:26.050,0.510,0.200,-1.009,-0.138
1650902066060,2022-04-25T11:54:26.060,0.520,0.199,-1.005,-0.139
1650902066070,2022-04-25T11:54:26.070,0.530,0.199,-1.008,-0.140
1650902066080,2022-04-25T11:54:26.080,0.540,0.200,-1.007,-0.140
1650902066090,2022-04-25T11:54:26.090,0.550,0.201,-1.007,-0.140
1650902066100,2022-04-25T11:54:26.100,0.560,0.199,-1.007,-0.139
1650902066110,2022-04-25T11:54:26.110,0.570,0.197,-1.008,-0.140
1650902066120,2022-04-25T11:54:26.120,0.580,0.196,-1.006,-0.143
1650902066130,2022-04-25T11:54:26.130,0.590,0.195,-1.005,-0.140
1650902066140,2022-04-25T11:54:26.140,0.600,0.194,-1.007,-0.136
1650902066150,2022-04-25T11:54:26.150,0.610,0.195,-1.006,-0.139
1650902066160,2022-04-25T11:54:26.160,0.620,0.195,-1.006,-0.138
1650902066170,2022-04-25T11:54:26.170,0.630,0.197,-1.009,-0.139
1650902066180,2022-04-25T11:54:26.180,0.640,0.196,-1.011,-0.136
1650902066190,2022-04-25T11:54:26.190,0.650,0.194,-1.013,-0.138
1650902066200,2022-04-25T11:54:26.200,0.660,0.194,-1.012,-0.136
1650902066210,2022-04-25T11:54:26.210,0.670,0.192,-1.012,-0.135
1650902066220,2022-04-25T11:54:26.220,0.680,0.192,-1.015,-0.134
1650902066230,2022-04-25T11:54:26.230,0.690,0.195,-1.012,-0.138
1650902066240,2022-04-25T11:54:26.240,0.700,0.194,-1.011,-0.133
1650902066250,2022-04-25T11:54:26.250,0.710,0.193,-1.010,-0.130
1650902066260,2022-04-25T11:54:26.260,0.720,0.192,-1.010,-0.135
1650902066270,2022-04-25T11:54:26.270,0.730,0.194,-1.011,-0.133
1650902066280,2022-04-25T11:54:26.280,0.740,0.194,-1.011,-0.132
1650902066290,2022-04-25T11:54:26.290,0.750,0.196,-1.012,-0.131
1650902066300,2022-04-25T11:54:26.300,0.760,0.195,-1.011,-0.132
1650902066310,2022-04-25T11:54:26.310,0.770,0.195,-1.009,-0.129
1650902066320,2022-04-25T11:54:26.320,0.780,0.197,-1.013,-0.129
1650902066330,2022-04-25T11:54:26.330,0.790,0.196,-1.013,-0.130
1650902066340,2022-04-25T11:54:26.340,0.800,0.196,-1.008,-0.129
1650902066350,2022-04-25T11:54:26.350,0.810,0.195,-1.009,-0.130
1650902066360,2022-04-25T11:54:26.360,0.820,0.197,-1.014,-0.130
1650902066370,2022-04-25T11:54:26.370,0.830,0.198,-1.016,-0.133
1650902066380,2022-04-25T11:54:26.380,0.840,0.198,-1.014,-0.131
1650902066390,2022-04-25T11:54:26.390,0.850,0.197,-1.010,-0.130
