epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1651506173521,2022-05-02T11:42:53.521,0.0,-1.049629423695611,-5.195985712315197,-0.27929181351089455
1651506173531,2022-05-02T11:42:53.531,0.01,-1.145165388288877,-4.837117575326879,-0.7116802297288903
1651506173541,2022-05-02T11:42:53.541,0.02,-0.9643205578588909,-4.668509747137817,-0.7461788461645014
1651506173551,2022-05-02T11:42:53.551,0.03,-0.6290870966279395,-4.608297517872444,-0.5740171901874942
1651506173561,2022-05-02T11:42:53.561,0.04,-0.40453842922455996,-4.5126061731449525,-0.5333777253757743
1651506173571,2022-05-02T11:42:53.571,0.05,-0.29440437162080113,-4.434397578363567,-0.5835546718013525
1651506173581,2022-05-02T11:42:53.581,0.06,-0.15494725495522,-4.485571166020183,-0.5719157897598562
1651506173591,2022-05-02T11:42:53.591,0.07,-0.013840557990986779,-4.63022398835503,-0.5707115541317274
1651506173601,2022-05-02T11:42:53.601,0.08,0.0022531412400594894,-4.76711583723109,-0.6868181226871695
1651506173611,2022-05-02T11:42:53.611,0.09,-0.0512861511569552,-4.880741473603205,-0.8413801007207302
1651506173621,2022-05-02T11:42:53.621,0.1,-0.007047086309141283,-5.000472538385733,-0.9080902643860994
1651506173631,2022-05-02T11:42:53.631,0.11,0.10525678081984692,-5.11396295316808,-0.9070733707419919
1651506173641,2022-05-02T11:42:53.641,0.12,0.09525787816598866,-5.198660770066793,-0.9452987318015519
1651506173651,2022-05-02T11:42:53.651,0.13,-0.04523182010153635,-5.255273907462051,-1.0345243068639727
1651506173661,2022-05-02T11:42:53.661,0.14,-0.0985602995125699,-5.26688134519638,-1.07739909989467
1651506173671,2022-05-02T11:42:53.671,0.15,0.05135313786170489,-5.202233109414205,-1.0283552874100321
1651506173681,2022-05-02T11:42:53.681,0.16,0.2699543353501135,-5.07736982404459,-0.9652856872618196
1651506173691,2022-05-02T11:42:53.691,0.17,0.39606571929448264,-4.9466993323282304,-0.9745882693640493
1651506173701,2022-05-02T11:42:53.701,0.18,0.4387568512179545,-4.832393049701066,-1.0456974171057305
1651506173711,2022-05-02T11:42:53.711,0.19,0.4916352862325892,-4.716296802610122,-1.10907028052092
1651506173721,2022-05-02T11:42:53.721,0.2,0.5834537161515202,-4.597840226574481,-1.1276089420010702
1651506173731,2022-05-02T11:42:53.731,0.21,0.6748493909586589,-4.51780567522642,-1.132003104505111
1651506173741,2022-05-02T11:42:53.741,0.22,0.7110236943671301,-4.5171629657337835,-1.1831496304247762
1651506173751,2022-05-02T11:42:53.751,0.23,0.6457690222639159,-4.601337065975641,-1.299874122692341
1651506173761,2022-05-02T11:42:53.761,0.24,0.4921283927399861,-4.760961186239418,-1.4330794495599775
1651506173771,2022-05-02T11:42:53.771,0.25,0.3457275418046506,-5.001479071687613,-1.5308909006786098
1651506173781,2022-05-02T11:42:53.781,0.26,0.27136466428663464,-5.330268045564022,-1.6152778727028276
1651506173791,2022-05-02T11:42:53.791,0.27,0.18833525554098074,-5.734597728609632,-1.7633971999048204
1651506173801,2022-05-02T11:42:53.801,0.28,-0.026388919822018065,-6.184187456823029,-2.000619970201795
1651506173811,2022-05-02T11:42:53.811,0.29,-0.33149443624200614,-6.640938844478566,-2.2337103847109576
1651506173821,2022-05-02T11:42:53.821,0.3,-0.5417681709159619,-7.074295091411571,-2.3519786854551907
1651506173831,2022-05-02T11:42:53.831,0.31,-0.5947930660644744,-7.48098833734768,-2.401953995029891
1651506173841,2022-05-02T11:42:53.841,0.32,-0.6907736251845987,-7.859262879222021,-2.531169498674467
1651506173851,2022-05-02T11:42:53.851,0.33,-1.0475599622366336,-8.139724779946903,-2.6830443528931394
1651506173861,2022-05-02T11:42:53.861,0.34,-1.5261976194111129,-8.199210921303607,-2.540321115006332
1651506173871,2022-05-02T11:42:53.871,0.35,-1.6845069438620952,-8.017716070209687,-1.987922128139473
1651506173881,2022-05-02T11:42:53.881,0.36,-1.3387077371130518,-7.7863175723792075,-1.4969299580384483
1651506173891,2022-05-02T11:42:53.891,0.37,-0.8691976073992389,-7.758587817062256,-1.7338566405466718
1651506173901,2022-05-02T11:42:53.901,0.38,-0.7630189754159926,-8.001261147095631,-2.7249333570676124
1651506173911,2022-05-02T11:42:53.911,0.39,-1.0511399852052408,-8.386255243304873,-3.605258275243611
1651506173921,2022-05-02T11:42:53.921,0.4,-1.333432773897582,-8.811713832150122,-3.4010218493617455
1651506173931,2022-05-02T11:42:53.931,0.41,-1.2155769834015901,-9.31922937739718,-2.100659269178503
1651506173941,2022-05-02T11:42:53.941,0.42,-0.7714380774932517,-9.984204544858947,-0.7318751048475514
1651506173951,2022-05-02T11:42:53.951,0.43,-0.5532322785239585,-10.742145312467567,-0.14863057646717462
1651506173961,2022-05-02T11:42:53.961,0.44,-0.8512542598180904,-11.335453716823796,-0.005591115801894309
1651506173971,2022-05-02T11:42:53.971,0.45,-1.1838695002754172,-11.524122600813858,0.5830973880854403
1651506173981,2022-05-02T11:42:53.981,0.46,-1.0427983947437889,-11.408874933172948,1.6161635524290783
1651506173991,2022-05-02T11:42:53.991,0.47,-0.7557057639581966,-11.352937901674856,2.1894706590471156
1651506174001,2022-05-02T11:42:54.001,0.48,-0.8917363886508998,-11.504987472249866,1.8623223580388575
1651506174011,2022-05-02T11:42:54.011,0.49,-1.2235224040754198,-11.668413160926017,1.26081143269879
1651506174021,2022-05-02T11:42:54.021,0.5,-1.1750471427930895,-11.67456113073796,1.1144690251597205
1651506174031,2022-05-02T11:42:54.031,0.51,-0.9217217483563239,-11.555889501456985,1.2650102949644875
1651506174041,2022-05-02T11:42:54.041,0.52,-1.0630276216934194,-11.35135029443991,1.0547654336558439
1651506174051,2022-05-02T11:42:54.051,0.53,-1.5608551964362258,-11.053138857647513,0.4328795062320796
1651506174061,2022-05-02T11:42:54.061,0.54,-1.7972675805479033,-10.740897140265796,0.10188359389859664
1651506174071,2022-05-02T11:42:54.071,0.55,-1.3223555263025482,-10.545171890192577,0.5138775724891709
1651506174081,2022-05-02T11:42:54.081,0.56,-0.27516127170364935,-10.469237036237772,1.2468830892594593
1651506174091,2022-05-02T11:42:54.091,0.57,0.5461272912112628,-10.3651924424721,1.5825096789579278
1651506174101,2022-05-02T11:42:54.101,0.58,0.3333512612136119,-10.10027190526997,1.3333738074528285
1651506174111,2022-05-02T11:42:54.111,0.59,-0.6477725003688751,-9.683366466310533,0.8888119355618136
1651506174121,2022-05-02T11:42:54.121,0.6,-1.2193482678383054,-9.20926156950281,0.6790159350501084
1651506174131,2022-05-02T11:42:54.131,0.61,-0.7601414892087573,-8.732493992648255,0.7941215660992265
1651506174141,2022-05-02T11:42:54.141,0.62,0.12934028891908964,-8.228923130426349,1.0046293116737726
1651506174151,2022-05-02T11:42:54.151,0.63,0.5533860204719188,-7.63938311500508,0.9861785434286869
1651506174161,2022-05-02T11:42:54.161,0.64,0.38716359712017645,-6.905641034113967,0.5926988751424453
1651506174171,2022-05-02T11:42:54.171,0.65,0.25842618958633434,-5.97840223331886,0.007908227615516239
1651506174181,2022-05-02T11:42:54.181,0.66,0.7182071522624467,-4.8300434113922694,-0.4620941257417719
1651506174191,2022-05-02T11:42:54.191,0.67,1.659014734176854,-3.456799701829439,-0.7456553809299244
1651506174201,2022-05-02T11:42:54.201,0.68,2.6910668604186996,-1.8609310293785248,-0.9641879541216007
1651506174211,2022-05-02T11:42:54.211,0.69,3.8641545279642737,-0.07249771604664884,-1.1021200837938632
1651506174221,2022-05-02T11:42:54.221,0.7,5.459697227578128,1.8280142274749192,-1.0277426811820007
1651506174231,2022-05-02T11:42:54.231,0.71,7.205121890309007,3.800805039565688,-0.7788648594284701
1651506174241,2022-05-02T11:42:54.241,0.72,8.60233657215546,5.938397911836723,-0.49954614176394235
1651506174251,2022-05-02T11:42:54.251,0.73,9.993023971377932,8.352539456567705,-0.21151848567416384
1651506174261,2022-05-02T11:42:54.261,0.74,12.082229927216481,10.978532209521806,0.01132711546453672
1651506174271,2022-05-02T11:42:54.271,0.75,14.373248885005605,13.608588712994155,-0.1334109038568959
1651506174281,2022-05-02T11:42:54.281,0.76,15.629701421448493,16.1581254509252,-0.7244346312051478
1651506174291,2022-05-02T11:42:54.291,0.77,16.078221134612118,18.782455966066934,-1.189556480032615
1651506174301,2022-05-02T11:42:54.301,0.78,17.332270468575384,21.603581895633578,-0.854169723023966
1651506174311,2022-05-02T11:42:54.311,0.79,19.71132785191844,24.411173720081216,0.1640058360168658
1651506174321,2022-05-02T11:42:54.321,0.8,21.503166249907572,26.825398421842813,1.0882524262238336
1651506174331,2022-05-02T11:42:54.331,0.81,21.491444519718044,28.717624453138658,1.5096845146029434
1651506174341,2022-05-02T11:42:54.341,0.82,20.53254110351424,30.28681106925718,1.831591635033992
1651506174351,2022-05-02T11:42:54.351,0.83,19.956778102015626,31.71935444342275,2.5874158181387634
