epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1568489872928,2019-09-14T15:37:52.928,0.0,-0.25240416047072095,-1.4058831189154986,1.6733080591494183
1568489872938,2019-09-14T15:37:52.938,0.01,-0.4488120709838864,-1.0706748845534053,1.9437670300429075
1568489872948,2019-09-14T15:37:52.948,0.02,-0.2901609022120043,-1.0478579273251887,2.2814462740375068
1568489872958,2019-09-14T15:37:52.958,0.03,0.3080721401284274,-1.347263167522865,2.867971593871463
1568489872968,2019-09-14T15:37:52.968,0.04,1.1499757723638573,-1.7999069276734545,3.6916094580447165
1568489872978,2019-09-14T15:37:52.978,0.05,1.9826957331308979,-2.3000321212868506,4.439003305369472
1568489872988,2019-09-14T15:37:52.988,0.06,2.6805196322826834,-2.8163675250764837,4.925706318611336
1568489872998,2019-09-14T15:37:52.998,0.07,3.2186550072334468,-3.312040226134762,5.350283804771711
1568489873008,2019-09-14T15:37:53.008,0.08,3.559655006652635,-3.73933836528333,5.974084678092695
1568489873018,2019-09-14T15:37:53.018,0.09,3.672639915194117,-4.072454948773112,6.802468502005217
1568489873028,2019-09-14T15:37:53.028,0.1,3.6611460489043806,-4.335499822188245,7.675055000789916
1568489873038,2019-09-14T15:37:53.038,0.11,3.73135006990686,-4.5851554444199785,8.47200387540509
1568489873048,2019-09-14T15:37:53.048,0.12,3.971058578125578,-4.826836488568799,9.204201643854102
1568489873058,2019-09-14T15:37:53.058,0.13,4.28714345004746,-4.977171478593105,10.04993002403997
1568489873068,2019-09-14T15:37:53.068,0.14,4.601906157847839,-4.966579555681327,11.231533416701458
1568489873078,2019-09-14T15:37:53.078,0.15,4.957205065406473,-4.849641164729922,12.689156663033868
1568489873088,2019-09-14T15:37:53.088,0.16,5.377787875059871,-4.7511784006557765,13.981718041319027
1568489873098,2019-09-14T15:37:53.098,0.17,5.769250848253893,-4.729055634415238,14.698902537036119
1568489873108,2019-09-14T15:37:53.108,0.18,6.022670052966179,-4.75607528234036,14.931712273201914
1568489873118,2019-09-14T15:37:53.118,0.19,6.145918224089911,-4.8069705510900995,15.215016577128768
