epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1568490331790,2019-09-14T15:45:31.790,0.0,-3.1727252782521364e-06,7.943944522001755e-07,-4.677404374001146e-06
1568490331840,2019-09-14T15:45:31.840,0.05,-6.15979088983894e-06,1.6349784638946575e-06,-4.147959570723098e-06
1568490331890,2019-09-14T15:45:31.890,0.1,-8.226025434721236e-06,2.7923192096621867e-06,-2.6047916390322303e-06
1568490331940,2019-09-14T15:45:31.940,0.15,-9.427047290222793e-06,4.120240933913062e-06,-5.713575177217577e-07
1568490331990,2019-09-14T15:45:31.990,0.2,-1.030754995656252e-05,4.864393154386716e-06,8.527932915697492e-07
1568490332040,2019-09-14T15:45:32.040,0.25,-1.1103557746828369e-05,4.5866245266918265e-06,1.6919450538551561e-06
1568490332090,2019-09-14T15:45:32.090,0.3,-1.1823556591364227e-05,4.004325440423467e-06,2.7330196607339008e-06
1568490332140,2019-09-14T15:45:32.140,0.35,-1.2473431334002123e-05,4.060526400293566e-06,4.0502975206014505e-06
1568490332190,2019-09-14T15:45:32.190,0.4,-1.2871576869956508e-05,4.61590475854898e-06,5.053296624774521e-06
1568490332240,2019-09-14T15:45:32.240,0.45,-1.2721274646607239e-05,4.866943531583113e-06,5.687167023537382e-06
1568490332290,2019-09-14T15:45:32.290,0.5,-1.2140216497905116e-05,4.5488647557219515e-06,6.534110530051495e-06
1568490332340,2019-09-14T15:45:32.340,0.55,-1.1761589601167536e-05,4.122643954479958e-06,7.814434672782783e-06
1568490332390,2019-09-14T15:45:32.390,0.6,-1.1950890328088863e-05,4.114294174657774e-06,9.0980960495736e-06
1568490332440,2019-09-14T15:45:32.440,0.65,-1.2208690132035096e-05,4.5277148607017075e-06,9.979962642507219e-06
1568490332490,2019-09-14T15:45:32.490,0.7,-1.18879363664007e-05,4.823872491303665e-06,1.0428800479374736e-05
1568490332540,2019-09-14T15:45:32.540,0.75,-1.121758087078484e-05,4.617473799168973e-06,1.0587883489185353e-05
1568490332590,2019-09-14T15:45:32.590,0.8,-1.0860908713312352e-05,4.232384380939326e-06,1.0742698983475717e-05
1568490332640,2019-09-14T15:45:32.640,0.85,-1.075757010847782e-05,4.079293094880052e-06,1.1238102083742397e-05
1568490332690,2019-09-14T15:45:32.690,0.9,-1.031900642126498e-05,3.892459710934973e-06,1.1987359894973327e-05
1568490332740,2019-09-14T15:45:32.740,0.95,-9.530525375347958e-06,3.3297030992513494e-06,1.2340736459858321e-05
1568490332790,2019-09-14T15:45:32.790,1.0,-8.945623956019137e-06,2.7328221305296954e-06,1.1796199916945625e-05
1568490332840,2019-09-14T15:45:32.840,1.05,-8.726781781576969e-06,2.4667191894152398e-06,1.0670393185602872e-05
1568490332890,2019-09-14T15:45:32.890,1.1,-8.490093684616771e-06,2.185877405255845e-06,9.815998854280702e-06
1568490332940,2019-09-14T15:45:32.940,1.15,-8.081768212910378e-06,1.5444523850995596e-06,9.713676996159717e-06
1568490332990,2019-09-14T15:45:32.990,1.2,-7.830055054941117e-06,1.007593577214623e-06,1.0006902511672576e-05
1568490333040,2019-09-14T15:45:33.040,1.25,-7.86111303958007e-06,1.2013957951139e-06,9.995722836178738e-06
1568490333090,2019-09-14T15:45:33.090,1.3,-7.689294018174259e-06,1.8829616889673463e-06,9.499423221859668e-06
1568490333140,2019-09-14T15:45:33.140,1.35,-6.879653983031442e-06,2.221390863682276e-06,9.037397362944749e-06
1568490333190,2019-09-14T15:45:33.190,1.4,-5.850549184936944e-06,1.8562515367289556e-06,9.072479181844934e-06
1568490333240,2019-09-14T15:45:33.240,1.45,-5.451813229077701e-06,1.187086179531807e-06,9.387793965660026e-06
1568490333290,2019-09-14T15:45:33.290,1.5,-5.691093333216719e-06,7.638563582150984e-07,9.502585864965468e-06
1568490333340,2019-09-14T15:45:33.340,1.55,-5.554310651256749e-06,7.098117728329172e-07,9.324286417317365e-06
1568490333390,2019-09-14T15:45:33.390,1.6,-4.472640493311536e-06,7.41947776593096e-07,9.089152079367985e-06
1568490333440,2019-09-14T15:45:33.440,1.65,-3.254047036911674e-06,6.171302222495047e-07,9.096128584343083e-06
1568490333490,2019-09-14T15:45:33.490,1.7,-2.9343237267668756e-06,3.6287685515774306e-07,9.566117642259227e-06
1568490333540,2019-09-14T15:45:33.540,1.75,-3.354428717125515e-06,6.28814668133563e-08,1.0296773669955474e-05
1568490333590,2019-09-14T15:45:33.590,1.8,-3.571726740186874e-06,-2.173189777949592e-07,1.0645405041907211e-05
1568490333640,2019-09-14T15:45:33.640,1.85,-3.1856005960471616e-06,-2.4909894758445243e-07,1.0265388714337009e-05
1568490333690,2019-09-14T15:45:33.690,1.9,-2.6355682525172583e-06,1.3612287647956706e-07,9.62258569908011e-06
1568490333740,2019-09-14T15:45:33.740,1.95,-2.4492477455432557e-06,6.689568050583563e-07,9.472187891011503e-06
1568490333790,2019-09-14T15:45:33.790,2.0,-2.617036005712112e-06,9.59224173055408e-07,9.93339007087082e-06
1568490333840,2019-09-14T15:45:33.840,2.05,-2.638860078669225e-06,1.0144286951259572e-06,1.042498024688272e-05
