exp_id,activity_id,activity_name,acc_x_mean,acc_x_var,acc_y_mean,acc_y_var,acc_z_mean,acc_z_var,acc_sum_mean,acc_abssum_mean,acc_sum_var,acc_abssum_var,acc_maxabssum,gyr_x_mean,gyr_x_var,gyr_y_mean,gyr_y_var,gyr_z_mean,gyr_z_var,gyr_sum_mean,gyr_abssum_mean,gyr_sum_var,gyr_abssum_var,gyr_maxabssum
45,1,Sitting and Reading a book,-0.5306066666666667,0.0009048882497212934,0.8030166666666667,0.00043600306577480424,-0.13054666666666667,0.00028376704570791524,14.186333333333346,146.417,42152.09544233334,10297.066689000003,240.90500000000003,0.21993000000000004,33.387179643913036,0.3790666666666667,38.14642220958751,-0.84983,57.31254929207358,-25.083333333333325,1281.9586666666667,40198.46930433334,18825.902052333313,1397.645
45,1,Sitting and Reading a book,-0.5396033333333333,0.00020477523968784816,0.7996433333333335,8.843089186176125e-05,-0.11542,0.0003481574581939799,14.46200000000001,145.46666666666667,42162.810577000004,10735.708076333336,239.89300000000003,-0.2583333333333333,5.686455413600891,-2.3058800000000006,42.09987878153846,-0.49273666666666666,4.846943699654404,-305.69500000000005,800.3743333333333,113023.21533100006,187566.9874723334,1299.2060000000001
45,1,Sitting and Reading a book,-0.55416,0.0003066967224080258,0.7932766666666667,9.034125975473796e-05,-0.07485,0.0011755192307692309,16.42666666666668,142.22866666666667,41984.51334233334,12045.775976333336,237.98300000000003,0.36828333333333335,5.26840574219621,-2.323803333333333,70.04522304146042,-0.2045233333333333,4.6457881365774805,-216.0043333333333,1006.2869999999998,181001.78724933334,598688.4749079999,1899.2109999999998
45,1,Sitting and Reading a book,-0.5468533333333333,0.0007901991527313259,0.7924766666666666,0.00010568841694537351,-0.09572000000000001,0.0034888778595317735,14.990333333333334,143.505,41793.29178033333,11239.829382999997,237.743,-0.5329533333333332,10.332121663366776,3.8871933333333337,102.7604589859086,0.43574333333333326,7.170675709821628,378.9983333333334,1236.0850000000003,485828.6533403334,875716.8322990002,2312.6220000000003
45,1,Sitting and Reading a book,-0.52206,0.0005117355183946486,0.80072,0.00016521230769230726,-0.15585000000000002,0.001179693143812709,12.281000000000004,147.863,41983.242861,9414.277149000001,240.216,-0.09168333333333333,15.754241374303232,2.3339333333333334,104.03985970791527,1.1196966666666666,7.206196620055742,336.1946666666667,1295.1566666666668,132381.42601033335,681901.5749743334,2233.61
45,1,Sitting and Reading a book,-0.5064166666666667,0.00016640440356744735,0.8099800000000001,0.00013323705685618653,-0.1608466666666667,0.00026784931995540697,14.27166666666667,147.72433333333336,41922.348384333345,9494.151100333336,242.99400000000003,0.6477566666666666,8.31585239878484,-1.2512566666666667,26.72686259276477,0.69288,3.790998366822743,8.937999999999997,748.5073333333333,110819.327011,95383.35520233336,1088.557
45,1,Sitting and Reading a book,-0.5065833333333334,0.00013419035674470484,0.8111533333333334,5.703326644370067e-05,-0.15128333333333335,5.792948717948722e-05,15.328666666666658,146.90200000000002,41834.28525033334,9816.440877000001,243.346,0.7394066666666667,4.004783907647715,-1.41934,16.36606063317726,0.045159999999999985,2.370172509431438,-63.47733333333334,549.742,109303.88782533334,53188.75398400001,798.854
45,1,Sitting and Reading a book,-0.5083099999999999,0.00023844204013377955,0.8118033333333333,8.865350055741292e-05,-0.14604,0.00012520909698996655,15.745333333333335,146.61533333333333,41871.03925433333,9998.828584333332,243.541,-0.20551333333333321,12.317963842630993,-0.1597666666666669,21.066153403567444,-0.045910000000000034,7.799060724314381,-41.119000000000014,762.1850000000001,607.9398309999995,25928.01831099999,934.766
45,1,Sitting and Reading a book,-0.5023166666666667,0.00019110005574136032,0.8144766666666667,5.7200122630991687e-05,-0.14929333333333333,0.00016828156075808254,16.286666666666665,146.60866666666666,41811.34154233334,9968.073096333335,244.34300000000002,-1.4412666666666667,9.65456768115942,2.0618,14.96326860200669,-0.1760766666666667,7.881789395440357,44.445666666666654,770.683,283204.1067363333,43199.14974299997,1009.5219999999999
45,1,Sitting and Reading a book,-0.50709,0.00022967414715719102,0.80991,8.941327759197278e-05,-0.16073333333333334,0.00035747380156075817,14.208666666666668,147.77333333333334,41949.00631633334,9496.398562333336,242.973,0.4993933333333336,16.889978333065777,0.5461600000000001,21.193600335518394,0.5513633333333335,6.4891794294202905,159.6916666666667,743.2049999999999,73.72615033333298,72315.35019100009,1029.5800000000002
45,1,Sitting and Reading a book,-0.5059033333333334,0.0003890575139353406,0.8158533333333333,0.00021896169453734584,-0.12933333333333333,0.0023925908584169456,18.061666666666664,145.109,41733.352284333334,10637.755167,244.756,0.6884033333333333,15.562947184604237,-4.931073333333333,78.9509017270457,1.73107,8.975169837892977,-251.15999999999997,1090.516,1155747.3836829998,470467.60170099995,1882.136
45,1,Sitting and Reading a book,-0.49842000000000003,0.0003247929096989972,0.8292833333333333,0.00013707329988851708,-0.07209,0.0011259818394648829,25.877333333333322,139.97933333333333,41355.40944433333,12968.54337433333,248.78499999999997,0.67744,4.971685966287626,-5.66444,70.14378397966556,0.7199033333333333,8.74204394045708,-426.70966666666664,1054.0716666666667,1214716.273004333,565132.5506843333,1919.824
45,1,Sitting and Reading a book,-0.5069800000000001,0.00044223371237458255,0.8266666666666667,0.00017599554069119258,-0.05155,0.00024571989966555184,26.81366666666666,138.51966666666667,41359.416450333345,13656.328450333334,248.0,-0.1150333333333333,16.005595002229654,-0.7479833333333333,36.503434518115945,-1.2591466666666664,6.395526667380156,-212.2163333333333,991.9810000000001,29563.634630333323,128371.61872300004,1380.623
45,1,Sitting and Reading a book,-0.5491199999999999,0.0017152898996655517,0.8007633333333333,0.0006608836008918607,-0.025303333333333337,0.002687830758082497,22.633999999999997,140.2433333333333,41684.32577499999,13045.939864333333,240.22899999999998,-2.836786666666667,40.48911035567447,-0.5417000000000005,84.04029870568563,-1.4733933333333333,19.874898500289856,-485.1880000000001,1632.3033333333333,119914.74984399996,260029.14757733335,2161.29
45,1,Sitting and Reading a book,-0.5740066666666667,0.0007453645039018947,0.7865033333333334,0.00032356855072463787,0.020283333333333337,0.0027410866778149385,23.27800000000001,140.93066666666667,41868.917289000005,12978.172552333337,235.95100000000002,-1.4752033333333334,41.449449727748046,0.7347366666666665,102.78975360600893,-0.47177666666666673,20.294607966677816,-121.22433333333338,1509.273,110195.61453733331,203081.51390800002,1974.827
45,1,Sitting and Reading a book,-0.5556233333333334,0.000533265674470456,0.7991866666666667,0.00023378443701226265,0.0024166666666666685,0.0019287321627647716,24.598000000000003,139.4226666666667,41726.41815900001,13545.643094333336,239.75600000000003,-0.13454000000000021,19.258758924816053,3.1386166666666666,152.41412130072464,0.1857633333333332,10.279601532430322,318.9839999999999,1365.488,293032.373971,592298.303821,2239.027
