epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635529697459,2021-10-29T13:48:17.459,0.000,13.354,12.317,0.061
1635529697469,2021-10-29T13:48:17.469,0.010,13.476,12.439,0.488
1635529697479,2021-10-29T13:48:17.479,0.020,13.415,12.195,0.915
1635529697489,2021-10-29T13:48:17.489,0.030,12.683,11.829,1.951
1635529697499,2021-10-29T13:48:17.499,0.040,12.683,11.037,3.232
1635529697509,2021-10-29T13:48:17.509,0.050,12.073,10.061,4.451
1635529697519,2021-10-29T13:48:17.519,0.060,9.939,9.268,5.549
1635529697529,2021-10-29T13:48:17.529,0.070,10.000,7.744,6.707
1635529697539,2021-10-29T13:48:17.539,0.080,7.317,7.073,6.829
1635529697549,2021-10-29T13:48:17.549,0.090,3.110,6.890,5.610
1635529697559,2021-10-29T13:48:17.559,0.100,-0.061,6.402,4.634
1635529697569,2021-10-29T13:48:17.569,0.110,0.854,6.280,4.329
1635529697579,2021-10-29T13:48:17.579,0.120,1.890,6.646,3.598
1635529697589,2021-10-29T13:48:17.589,0.130,0.122,7.927,1.341
1635529697599,2021-10-29T13:48:17.599,0.140,-3.720,10.488,-2.012
1635529697609,2021-10-29T13:48:17.609,0.150,-5.366,13.659,-5.305
1635529697619,2021-10-29T13:48:17.619,0.160,-3.598,16.341,-8.049
1635529697629,2021-10-29T13:48:17.629,0.170,-4.756,19.085,-10.854
1635529697639,2021-10-29T13:48:17.639,0.180,-7.866,22.256,-13.780
1635529697649,2021-10-29T13:48:17.649,0.190,-9.512,24.573,-15.976
1635529697659,2021-10-29T13:48:17.659,0.200,-10.183,26.280,-17.317
1635529697669,2021-10-29T13:48:17.669,0.210,-10.549,27.927,-17.927
1635529697679,2021-10-29T13:48:17.679,0.220,-11.646,28.902,-18.171
1635529697689,2021-10-29T13:48:17.689,0.230,-12.378,29.146,-17.744
1635529697699,2021-10-29T13:48:17.699,0.240,-13.110,29.207,-17.683
1635529697709,2021-10-29T13:48:17.709,0.250,-13.659,29.207,-17.866
1635529697719,2021-10-29T13:48:17.719,0.260,-11.463,28.232,-17.744
1635529697729,2021-10-29T13:48:17.729,0.270,-9.573,27.012,-17.439
1635529697739,2021-10-29T13:48:17.739,0.280,-8.476,25.488,-17.256
1635529697749,2021-10-29T13:48:17.749,0.290,-7.073,23.415,-16.707
1635529697759,2021-10-29T13:48:17.759,0.300,-5.976,20.915,-16.463
1635529697769,2021-10-29T13:48:17.769,0.310,-6.585,18.720,-16.341
1635529697779,2021-10-29T13:48:17.779,0.320,-6.768,16.829,-15.915
1635529697789,2021-10-29T13:48:17.789,0.330,-4.146,14.878,-15.183
1635529697799,2021-10-29T13:48:17.799,0.340,-0.671,13.354,-14.634
1635529697809,2021-10-29T13:48:17.809,0.350,2.073,12.256,-14.390
1635529697819,2021-10-29T13:48:17.819,0.360,5.061,11.098,-13.902
1635529697829,2021-10-29T13:48:17.829,0.370,7.500,9.939,-13.537
1635529697839,2021-10-29T13:48:17.839,0.380,7.866,9.268,-13.720
1635529697849,2021-10-29T13:48:17.849,0.390,8.476,8.415,-13.415
1635529697859,2021-10-29T13:48:17.859,0.400,9.146,7.622,-12.683
1635529697869,2021-10-29T13:48:17.869,0.410,8.354,7.195,-12.256
1635529697879,2021-10-29T13:48:17.879,0.420,7.256,6.951,-11.829
1635529697889,2021-10-29T13:48:17.889,0.430,7.622,6.646,-11.037
1635529697899,2021-10-29T13:48:17.899,0.440,8.598,6.220,-10.061
1635529697909,2021-10-29T13:48:17.909,0.450,7.683,6.220,-9.573
1635529697919,2021-10-29T13:48:17.919,0.460,6.463,6.098,-9.085
1635529697929,2021-10-29T13:48:17.929,0.470,6.341,5.366,-8.415
1635529697939,2021-10-29T13:48:17.939,0.480,7.073,4.390,-7.500
1635529697949,2021-10-29T13:48:17.949,0.490,5.122,3.659,-6.646
1635529697959,2021-10-29T13:48:17.959,0.500,4.268,2.378,-5.671
1635529697969,2021-10-29T13:48:17.969,0.510,3.476,1.037,-4.695
1635529697979,2021-10-29T13:48:17.979,0.520,1.159,-0.305,-5.183
1635529697989,2021-10-29T13:48:17.989,0.530,-2.073,-1.524,-5.732
1635529697999,2021-10-29T13:48:17.999,0.540,-2.561,-2.988,-5.061
1635529698009,2021-10-29T13:48:18.009,0.550,-3.354,-4.085,-3.963
1635529698019,2021-10-29T13:48:18.019,0.560,-5.610,-4.634,-3.171
1635529698029,2021-10-29T13:48:18.029,0.570,-7.927,-4.939,-2.134
1635529698039,2021-10-29T13:48:18.039,0.580,-8.537,-5.366,-0.610
1635529698049,2021-10-29T13:48:18.049,0.590,-8.415,-5.366,0.610
1635529698059,2021-10-29T13:48:18.059,0.600,-8.415,-4.695,1.098
1635529698069,2021-10-29T13:48:18.069,0.610,-7.317,-3.598,1.341
1635529698079,2021-10-29T13:48:18.079,0.620,-4.817,-2.622,1.159
1635529698089,2021-10-29T13:48:18.089,0.630,-3.049,-1.646,0.427
1635529698099,2021-10-29T13:48:18.099,0.640,-2.012,-0.671,-0.671
1635529698109,2021-10-29T13:48:18.109,0.650,-1.341,0.732,-2.012
1635529698119,2021-10-29T13:48:18.119,0.660,-0.122,2.012,-3.171
1635529698129,2021-10-29T13:48:18.129,0.670,1.951,3.110,-3.537
1635529698139,2021-10-29T13:48:18.139,0.680,4.390,4.146,-3.720
1635529698149,2021-10-29T13:48:18.149,0.690,6.037,4.756,-4.085
1635529698159,2021-10-29T13:48:18.159,0.700,6.280,5.244,-4.085
1635529698169,2021-10-29T13:48:18.169,0.710,6.585,5.610,-3.720
1635529698179,2021-10-29T13:48:18.179,0.720,6.402,5.549,-2.988
1635529698189,2021-10-29T13:48:18.189,0.730,5.122,5.305,-2.012
1635529698199,2021-10-29T13:48:18.199,0.740,3.049,5.183,-0.915
1635529698209,2021-10-29T13:48:18.209,0.750,1.585,4.878,0.183
1635529698219,2021-10-29T13:48:18.219,0.760,0.549,4.817,1.341
1635529698229,2021-10-29T13:48:18.229,0.770,-0.427,4.817,2.500
1635529698239,2021-10-29T13:48:18.239,0.780,-0.671,4.817,2.866
1635529698249,2021-10-29T13:48:18.249,0.790,-0.671,4.939,2.988
1635529698259,2021-10-29T13:48:18.259,0.800,-0.488,5.366,3.049
1635529698269,2021-10-29T13:48:18.269,0.810,0.183,5.915,2.622
1635529698279,2021-10-29T13:48:18.279,0.820,0.610,6.463,1.890
1635529698289,2021-10-29T13:48:18.289,0.830,0.793,7.317,0.976
1635529698299,2021-10-29T13:48:18.299,0.840,1.463,8.232,-0.305
1635529698309,2021-10-29T13:48:18.309,0.850,1.951,9.329,-1.768
1635529698319,2021-10-29T13:48:18.319,0.860,2.012,10.549,-3.232
1635529698329,2021-10-29T13:48:18.329,0.870,2.500,11.768,-4.390
1635529698339,2021-10-29T13:48:18.339,0.880,2.866,12.866,-4.939
1635529698349,2021-10-29T13:48:18.349,0.890,2.744,14.085,-5.061
1635529698359,2021-10-29T13:48:18.359,0.900,3.232,15.305,-4.512
1635529698369,2021-10-29T13:48:18.369,0.910,4.695,16.098,-3.232
1635529698379,2021-10-29T13:48:18.379,0.920,5.061,16.768,-1.768
1635529698389,2021-10-29T13:48:18.389,0.930,5.122,17.012,-0.427
1635529698399,2021-10-29T13:48:18.399,0.940,5.610,16.524,1.098
1635529698409,2021-10-29T13:48:18.409,0.950,6.585,15.000,2.622
1635529698419,2021-10-29T13:48:18.419,0.960,5.793,12.988,4.085
1635529698429,2021-10-29T13:48:18.429,0.970,4.512,10.366,5.244
1635529698439,2021-10-29T13:48:18.439,0.980,4.268,7.134,6.341
1635529698449,2021-10-29T13:48:18.449,0.990,4.207,3.659,7.378
1635529698459,2021-10-29T13:48:18.459,1.000,3.476,0.305,8.293
1635529698469,2021-10-29T13:48:18.469,1.010,2.683,-2.866,9.451
1635529698479,2021-10-29T13:48:18.479,1.020,2.317,-5.549,10.427
1635529698489,2021-10-29T13:48:18.489,1.030,2.866,-7.744,11.037
1635529698499,2021-10-29T13:48:18.499,1.040,3.598,-9.024,10.854
1635529698509,2021-10-29T13:48:18.509,1.050,3.902,-9.573,9.939
1635529698519,2021-10-29T13:48:18.519,1.060,4.390,-9.085,8.720
1635529698529,2021-10-29T13:48:18.529,1.070,4.451,-7.805,7.195
1635529698539,2021-10-29T13:48:18.539,1.080,4.268,-5.854,5.061
1635529698549,2021-10-29T13:48:18.549,1.090,4.695,-3.476,2.622
1635529698559,2021-10-29T13:48:18.559,1.100,4.878,-0.793,0.610
1635529698569,2021-10-29T13:48:18.569,1.110,4.085,2.317,-1.524
1635529698579,2021-10-29T13:48:18.579,1.120,2.256,5.549,-3.720
1635529698589,2021-10-29T13:48:18.589,1.130,2.012,8.598,-5.305
1635529698599,2021-10-29T13:48:18.599,1.140,3.720,11.159,-6.037
1635529698609,2021-10-29T13:48:18.609,1.150,5.000,13.110,-6.524
1635529698619,2021-10-29T13:48:18.619,1.160,5.183,14.695,-7.012
1635529698629,2021-10-29T13:48:18.629,1.170,4.207,15.549,-7.256
1635529698639,2021-10-29T13:48:18.639,1.180,2.866,15.915,-7.439
1635529698649,2021-10-29T13:48:18.649,1.190,2.439,15.244,-7.378
1635529698659,2021-10-29T13:48:18.659,1.200,2.073,14.085,-7.073
1635529698669,2021-10-29T13:48:18.669,1.210,1.280,12.378,-6.707
1635529698679,2021-10-29T13:48:18.679,1.220,0.488,10.061,-6.280
1635529698689,2021-10-29T13:48:18.689,1.230,0.061,7.256,-5.915
1635529698699,2021-10-29T13:48:18.699,1.240,0.122,4.329,-5.427
1635529698709,2021-10-29T13:48:18.709,1.250,-0.244,1.037,-5.000
1635529698719,2021-10-29T13:48:18.719,1.260,-1.037,-2.195,-4.573
1635529698729,2021-10-29T13:48:18.729,1.270,0.244,-5.427,-3.780
1635529698739,2021-10-29T13:48:18.739,1.280,0.793,-8.354,-3.598
1635529698749,2021-10-29T13:48:18.749,1.290,-0.671,-10.549,-3.659
1635529698759,2021-10-29T13:48:18.759,1.300,-1.280,-12.317,-3.476
1635529698769,2021-10-29T13:48:18.769,1.310,-0.305,-13.780,-2.866
1635529698779,2021-10-29T13:48:18.779,1.320,-0.183,-14.817,-2.317
