epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1636988765699,2021-11-15T10:06:05.699,12.485,98878.766
1636988765833,2021-11-15T10:06:05.833,12.619,98876.500
1636988765970,2021-11-15T10:06:05.970,12.756,98883.172
1636988766106,2021-11-15T10:06:06.106,12.892,98877.836
1636988766241,2021-11-15T10:06:06.241,13.027,98876.313
1636988766377,2021-11-15T10:06:06.377,13.163,98876.859
1636988766513,2021-11-15T10:06:06.513,13.299,98877.836
1636988766648,2021-11-15T10:06:06.648,13.434,98877.078
1636988766784,2021-11-15T10:06:06.784,13.570,98875.164
1636988766920,2021-11-15T10:06:06.920,13.706,98877.078
1636988767055,2021-11-15T10:06:07.055,13.841,98878.625
1636988767191,2021-11-15T10:06:07.191,13.977,98877.836
1636988767326,2021-11-15T10:06:07.326,14.112,98878.047
1636988767462,2021-11-15T10:06:07.462,14.248,98878.047
1636988767599,2021-11-15T10:06:07.599,14.385,98871.367
1636988767733,2021-11-15T10:06:07.733,14.519,98878.047
1636988767870,2021-11-15T10:06:07.870,14.656,98878.625
1636988768006,2021-11-15T10:06:08.006,14.792,98879.383
1636988768141,2021-11-15T10:06:08.141,14.927,98878.813
1636988768277,2021-11-15T10:06:08.277,15.063,98883.609
1636988768413,2021-11-15T10:06:08.413,15.199,98877.469
1636988768548,2021-11-15T10:06:08.548,15.334,98875.375
1636988768684,2021-11-15T10:06:08.684,15.470,98873.469
1636988768820,2021-11-15T10:06:08.820,15.606,98881.695
1636988768955,2021-11-15T10:06:08.955,15.741,98879.602
1636988769091,2021-11-15T10:06:09.091,15.877,98872.922
1636988769226,2021-11-15T10:06:09.226,16.012,98873.680
1636988769362,2021-11-15T10:06:09.362,16.148,98874.438
1636988769498,2021-11-15T10:06:09.498,16.284,98875.594
1636988769635,2021-11-15T10:06:09.635,16.421,98873.680
1636988769769,2021-11-15T10:06:09.769,16.555,98873.898
1636988769906,2021-11-15T10:06:09.906,16.692,98875.773
1636988770040,2021-11-15T10:06:10.040,16.826,98879.781
1636988770177,2021-11-15T10:06:10.177,16.963,98880.578
1636988770313,2021-11-15T10:06:10.313,17.099,98870.438
1636988770448,2021-11-15T10:06:10.448,17.234,98874.438
1636988770584,2021-11-15T10:06:10.584,17.370,98875.984
1636988770720,2021-11-15T10:06:10.720,17.506,98877.898
1636988770855,2021-11-15T10:06:10.855,17.641,98878.656
1636988770991,2021-11-15T10:06:10.991,17.777,98877.328
1636988771126,2021-11-15T10:06:11.126,17.912,98873.320
1636988771262,2021-11-15T10:06:11.262,18.048,98874.656
1636988771398,2021-11-15T10:06:11.398,18.184,98876.750
1636988771533,2021-11-15T10:06:11.533,18.319,98878.875
1636988771669,2021-11-15T10:06:11.669,18.455,98875.984
1636988771806,2021-11-15T10:06:11.806,18.592,98874.078
1636988771940,2021-11-15T10:06:11.940,18.726,98874.867
1636988772077,2021-11-15T10:06:12.077,18.863,98878.875
1636988772211,2021-11-15T10:06:12.211,18.997,98878.297
1636988772348,2021-11-15T10:06:12.348,19.134,98877.547
1636988772484,2021-11-15T10:06:12.484,19.270,98878.297
1636988772619,2021-11-15T10:06:12.619,19.405,98876.203
1636988772755,2021-11-15T10:06:12.755,19.541,98874.297
1636988772891,2021-11-15T10:06:12.891,19.677,98876.391
1636988773026,2021-11-15T10:06:13.026,19.812,98876.969
1636988773162,2021-11-15T10:06:13.162,19.948,98876.391
1636988773298,2021-11-15T10:06:13.298,20.084,98877.719
1636988773433,2021-11-15T10:06:13.433,20.219,98876.391
1636988773569,2021-11-15T10:06:13.569,20.355,98875.055
1636988773704,2021-11-15T10:06:13.704,20.490,98883.063
1636988773840,2021-11-15T10:06:13.840,20.626,98871.047
1636988773976,2021-11-15T10:06:13.976,20.762,98875.055
1636988774111,2021-11-15T10:06:14.111,20.897,98879.273
1636988774247,2021-11-15T10:06:14.247,21.033,98880.031
1636988774384,2021-11-15T10:06:14.384,21.170,98873.172
1636988774518,2021-11-15T10:06:14.518,21.304,98876.602
1636988774655,2021-11-15T10:06:14.655,21.441,98880.609
1636988774789,2021-11-15T10:06:14.789,21.575,98873.938
1636988774926,2021-11-15T10:06:14.926,21.712,98872.594
1636988775062,2021-11-15T10:06:15.062,21.848,98872.594
1636988775197,2021-11-15T10:06:15.197,21.983,98872.016
1636988775333,2021-11-15T10:06:15.333,22.119,98874.148
1636988775469,2021-11-15T10:06:15.469,22.255,98877.938
1636988775604,2021-11-15T10:06:15.604,22.390,98880.031
1636988775740,2021-11-15T10:06:15.740,22.526,98882.703
1636988775876,2021-11-15T10:06:15.876,22.662,98878.906
1636988776011,2021-11-15T10:06:16.011,22.797,98876.813
1636988776147,2021-11-15T10:06:16.147,22.933,98877.578
1636988776282,2021-11-15T10:06:16.282,23.068,98871.469
1636988776418,2021-11-15T10:06:16.418,23.204,98873.359
1636988776555,2021-11-15T10:06:16.555,23.341,98884.258
1636988776689,2021-11-15T10:06:16.689,23.475,98881.008
1636988776826,2021-11-15T10:06:16.826,23.612,98875.484
1636988776962,2021-11-15T10:06:16.962,23.748,98881.797
1636988777097,2021-11-15T10:06:17.097,23.883,98879.125
1636988777233,2021-11-15T10:06:17.233,24.019,98875.672
1636988777369,2021-11-15T10:06:17.369,24.155,98877.578
1636988777504,2021-11-15T10:06:17.504,24.290,98879.672
1636988777640,2021-11-15T10:06:17.640,24.426,98882.344
1636988777776,2021-11-15T10:06:17.776,24.562,98877.797
1636988777911,2021-11-15T10:06:17.911,24.697,98882.563
1636988778047,2021-11-15T10:06:18.047,24.833,98876.641
1636988778182,2021-11-15T10:06:18.182,24.968,98878.547
1636988778318,2021-11-15T10:06:18.318,25.104,98873.781
1636988778454,2021-11-15T10:06:18.454,25.240,98872.992
1636988778589,2021-11-15T10:06:18.589,25.375,98879.313
1636988778725,2021-11-15T10:06:18.725,25.511,98878.547
1636988778862,2021-11-15T10:06:18.862,25.648,98877.430
1636988778996,2021-11-15T10:06:18.996,25.782,98879.891
1636988779133,2021-11-15T10:06:19.133,25.919,98878.766
1636988779269,2021-11-15T10:06:19.269,26.055,98877.430
1636988779404,2021-11-15T10:06:19.404,26.190,98876.641
1636988779540,2021-11-15T10:06:19.540,26.326,98882.953
1636988779676,2021-11-15T10:06:19.676,26.462,98875.516
1636988779811,2021-11-15T10:06:19.811,26.597,98877.430
1636988779947,2021-11-15T10:06:19.947,26.733,98877.430
1636988780082,2021-11-15T10:06:20.082,26.868,98872.633
1636988780218,2021-11-15T10:06:20.218,27.004,98884.109
1636988780354,2021-11-15T10:06:20.354,27.140,98880.102
1636988780489,2021-11-15T10:06:20.489,27.275,98876.852
1636988780625,2021-11-15T10:06:20.625,27.411,98874.938
1636988780762,2021-11-15T10:06:20.762,27.548,98876.094
1636988780896,2021-11-15T10:06:20.896,27.682,98878.953
1636988781033,2021-11-15T10:06:21.033,27.819,98878.953
1636988781169,2021-11-15T10:06:21.169,27.955,98877.609
1636988781304,2021-11-15T10:06:21.304,28.090,98884.297
1636988781440,2021-11-15T10:06:21.440,28.226,98876.273
1636988781576,2021-11-15T10:06:21.576,28.362,98881.836
1636988781711,2021-11-15T10:06:21.711,28.497,98880.500
1636988781847,2021-11-15T10:06:21.847,28.633,98878.406
1636988781982,2021-11-15T10:06:21.982,28.768,98878.039
1636988782118,2021-11-15T10:06:22.118,28.904,98880.719
1636988782254,2021-11-15T10:06:22.254,29.040,98878.039
1636988782389,2021-11-15T10:06:22.389,29.175,98881.836
1636988782525,2021-11-15T10:06:22.525,29.311,98878.797
1636988782661,2021-11-15T10:06:22.661,29.447,98880.719
1636988782796,2021-11-15T10:06:22.796,29.582,98878.039
1636988782932,2021-11-15T10:06:22.932,29.718,98878.797
1636988783069,2021-11-15T10:06:23.069,29.855,98882.047
1636988783203,2021-11-15T10:06:23.203,29.989,98882.266
1636988783340,2021-11-15T10:06:23.340,30.126,98887.789
1636988783474,2021-11-15T10:06:23.474,30.260,98882.266
1636988783611,2021-11-15T10:06:23.611,30.397,98880.922
1636988783747,2021-11-15T10:06:23.747,30.533,98880.352
1636988783882,2021-11-15T10:06:23.882,30.668,98878.250
1636988784018,2021-11-15T10:06:24.018,30.804,98878.250
1636988784154,2021-11-15T10:06:24.154,30.940,98880.352
1636988784289,2021-11-15T10:06:24.289,31.075,98881.688
1636988784425,2021-11-15T10:06:24.425,31.211,98872.906
1636988784561,2021-11-15T10:06:24.561,31.347,98881.688
1636988784696,2021-11-15T10:06:24.696,31.482,98878.656
1636988784832,2021-11-15T10:06:24.832,31.618,98877.680
1636988784967,2021-11-15T10:06:24.967,31.753,98877.891
1636988785103,2021-11-15T10:06:25.103,31.889,98875.766
1636988785240,2021-11-15T10:06:25.240,32.026,98876.734
1636988785374,2021-11-15T10:06:25.374,32.160,98875.984
1636988785511,2021-11-15T10:06:25.511,32.297,98877.313
1636988785647,2021-11-15T10:06:25.647,32.433,98874.641
1636988785782,2021-11-15T10:06:25.782,32.568,98872.188
1636988785918,2021-11-15T10:06:25.918,32.704,98878.656
1636988786054,2021-11-15T10:06:26.054,32.840,98871.398
1636988786189,2021-11-15T10:06:26.189,32.975,98875.984
1636988786325,2021-11-15T10:06:26.325,33.111,98874.641
1636988786461,2021-11-15T10:06:26.461,33.247,98874.641
1636988786596,2021-11-15T10:06:26.596,33.382,98875.406
1636988786732,2021-11-15T10:06:26.732,33.518,98877.531
1636988786867,2021-11-15T10:06:26.867,33.653,98878.867
