epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636988753232,2021-11-15T10:05:53.232,0.000,-1.707,-2.988,-1.159
1636988753242,2021-11-15T10:05:53.242,0.010,-1.768,-3.354,-0.793
1636988753252,2021-11-15T10:05:53.252,0.020,-1.585,-2.622,-0.793
1636988753262,2021-11-15T10:05:53.262,0.030,-1.463,-2.195,-0.671
1636988753272,2021-11-15T10:05:53.272,0.040,-1.585,-1.829,-0.671
1636988753282,2021-11-15T10:05:53.282,0.050,-1.585,-1.402,-0.854
1636988753292,2021-11-15T10:05:53.292,0.060,-1.524,-1.220,-0.854
1636988753302,2021-11-15T10:05:53.302,0.070,-1.341,-0.915,-1.037
1636988753312,2021-11-15T10:05:53.312,0.080,-1.341,-0.732,-1.402
1636988753322,2021-11-15T10:05:53.322,0.090,-1.220,-0.549,-1.707
1636988753332,2021-11-15T10:05:53.332,0.100,-1.037,-0.427,-1.951
1636988753342,2021-11-15T10:05:53.342,0.110,-1.159,0.000,-2.073
1636988753352,2021-11-15T10:05:53.352,0.120,-1.159,0.244,-2.073
1636988753362,2021-11-15T10:05:53.362,0.130,-1.280,0.488,-2.134
1636988753372,2021-11-15T10:05:53.372,0.140,-1.463,0.610,-2.012
1636988753382,2021-11-15T10:05:53.382,0.150,-1.341,0.854,-1.890
1636988753392,2021-11-15T10:05:53.392,0.160,-1.524,0.854,-1.951
1636988753402,2021-11-15T10:05:53.402,0.170,-1.646,0.793,-1.951
1636988753412,2021-11-15T10:05:53.412,0.180,-1.829,0.610,-1.829
1636988753422,2021-11-15T10:05:53.422,0.190,-1.951,0.427,-1.768
1636988753432,2021-11-15T10:05:53.432,0.200,-2.012,0.122,-1.890
1636988753442,2021-11-15T10:05:53.442,0.210,-2.317,-0.122,-2.073
1636988753452,2021-11-15T10:05:53.452,0.220,-2.317,-0.488,-1.951
1636988753462,2021-11-15T10:05:53.462,0.230,-2.378,-0.793,-2.073
1636988753472,2021-11-15T10:05:53.472,0.240,-2.622,-1.098,-2.256
1636988753482,2021-11-15T10:05:53.482,0.250,-2.805,-1.646,-2.500
1636988753492,2021-11-15T10:05:53.492,0.260,-2.805,-2.195,-2.744
1636988753502,2021-11-15T10:05:53.502,0.270,-2.988,-2.927,-2.927
1636988753512,2021-11-15T10:05:53.512,0.280,-3.354,-3.598,-2.927
1636988753522,2021-11-15T10:05:53.522,0.290,-3.415,-4.146,-2.866
1636988753532,2021-11-15T10:05:53.532,0.300,-2.927,-4.695,-2.683
1636988753542,2021-11-15T10:05:53.542,0.310,-2.866,-5.061,-2.317
1636988753552,2021-11-15T10:05:53.552,0.320,-2.866,-5.366,-2.073
1636988753562,2021-11-15T10:05:53.562,0.330,-2.866,-5.549,-2.134
1636988753572,2021-11-15T10:05:53.572,0.340,-3.110,-5.671,-2.317
1636988753582,2021-11-15T10:05:53.582,0.350,-3.171,-5.549,-2.500
1636988753592,2021-11-15T10:05:53.592,0.360,-3.171,-5.366,-2.500
1636988753602,2021-11-15T10:05:53.602,0.370,-3.232,-5.244,-2.622
1636988753612,2021-11-15T10:05:53.612,0.380,-3.110,-5.122,-3.049
1636988753622,2021-11-15T10:05:53.622,0.390,-3.293,-4.878,-3.354
1636988753632,2021-11-15T10:05:53.632,0.400,-3.720,-4.695,-3.841
1636988753642,2021-11-15T10:05:53.642,0.410,-3.720,-4.329,-3.963
1636988753652,2021-11-15T10:05:53.652,0.420,-3.415,-4.085,-3.841
1636988753662,2021-11-15T10:05:53.662,0.430,-3.537,-3.780,-3.963
1636988753672,2021-11-15T10:05:53.672,0.440,-3.720,-3.659,-4.024
1636988753682,2021-11-15T10:05:53.682,0.450,-3.171,-3.232,-3.476
1636988753692,2021-11-15T10:05:53.692,0.460,-2.561,-2.805,-2.988
1636988753702,2021-11-15T10:05:53.702,0.470,-2.805,-2.683,-2.805
1636988753712,2021-11-15T10:05:53.712,0.480,-3.354,-2.622,-2.744
1636988753722,2021-11-15T10:05:53.722,0.490,-3.476,-2.378,-2.561
1636988753732,2021-11-15T10:05:53.732,0.500,-3.476,-2.256,-2.256
1636988753742,2021-11-15T10:05:53.742,0.510,-3.537,-2.073,-2.134
1636988753752,2021-11-15T10:05:53.752,0.520,-3.537,-1.890,-1.951
1636988753762,2021-11-15T10:05:53.762,0.530,-3.293,-1.768,-1.829
1636988753772,2021-11-15T10:05:53.772,0.540,-3.232,-1.646,-1.829
1636988753782,2021-11-15T10:05:53.782,0.550,-3.049,-1.585,-1.829
1636988753792,2021-11-15T10:05:53.792,0.560,-2.988,-1.463,-1.829
1636988753802,2021-11-15T10:05:53.802,0.570,-3.171,-1.402,-2.012
1636988753812,2021-11-15T10:05:53.812,0.580,-3.537,-1.463,-2.012
1636988753822,2021-11-15T10:05:53.822,0.590,-3.780,-1.524,-1.951
1636988753832,2021-11-15T10:05:53.832,0.600,-3.659,-1.524,-1.768
1636988753842,2021-11-15T10:05:53.842,0.610,-3.415,-1.341,-1.646
1636988753852,2021-11-15T10:05:53.852,0.620,-3.171,-1.280,-1.707
1636988753862,2021-11-15T10:05:53.862,0.630,-3.171,-1.037,-1.646
1636988753872,2021-11-15T10:05:53.872,0.640,-3.354,-0.854,-1.463
1636988753882,2021-11-15T10:05:53.882,0.650,-3.110,-0.915,-1.220
1636988753892,2021-11-15T10:05:53.892,0.660,-2.805,-0.793,-1.098
1636988753902,2021-11-15T10:05:53.902,0.670,-2.927,-0.793,-1.098
1636988753912,2021-11-15T10:05:53.912,0.680,-3.049,-1.098,-1.159
1636988753922,2021-11-15T10:05:53.922,0.690,-3.110,-1.341,-1.280
1636988753932,2021-11-15T10:05:53.932,0.700,-3.293,-1.585,-1.524
1636988753942,2021-11-15T10:05:53.942,0.710,-2.988,-1.768,-1.524
1636988753952,2021-11-15T10:05:53.952,0.720,-2.622,-2.073,-1.402
1636988753962,2021-11-15T10:05:53.962,0.730,-2.866,-2.317,-1.524
1636988753972,2021-11-15T10:05:53.972,0.740,-3.415,-2.500,-1.585
1636988753982,2021-11-15T10:05:53.982,0.750,-3.476,-2.622,-1.463
1636988753992,2021-11-15T10:05:53.992,0.760,-3.293,-2.622,-1.402
1636988754002,2021-11-15T10:05:54.002,0.770,-3.293,-2.683,-1.402
1636988754012,2021-11-15T10:05:54.012,0.780,-3.354,-2.805,-1.402
1636988754022,2021-11-15T10:05:54.022,0.790,-3.232,-2.866,-1.524
1636988754032,2021-11-15T10:05:54.032,0.800,-2.988,-2.927,-1.585
1636988754042,2021-11-15T10:05:54.042,0.810,-2.927,-3.049,-1.585
1636988754052,2021-11-15T10:05:54.052,0.820,-2.866,-3.049,-1.585
1636988754062,2021-11-15T10:05:54.062,0.830,-2.622,-3.171,-1.463
1636988754072,2021-11-15T10:05:54.072,0.840,-2.561,-3.293,-1.402
1636988754082,2021-11-15T10:05:54.082,0.850,-2.378,-3.232,-1.159
1636988754092,2021-11-15T10:05:54.092,0.860,-2.134,-3.049,-0.732
1636988754102,2021-11-15T10:05:54.102,0.870,-2.012,-2.622,-0.488
1636988754112,2021-11-15T10:05:54.112,0.880,-1.829,-2.012,-0.610
1636988754122,2021-11-15T10:05:54.122,0.890,-2.378,-1.707,-0.244
1636988754132,2021-11-15T10:05:54.132,0.900,-2.073,-1.463,1.098
1636988754142,2021-11-15T10:05:54.142,0.910,0.244,-1.220,2.073
1636988754152,2021-11-15T10:05:54.152,0.920,0.427,-1.098,1.890
1636988754162,2021-11-15T10:05:54.162,0.930,-0.793,-1.098,1.402
1636988754172,2021-11-15T10:05:54.172,0.940,-0.244,-0.793,1.280
1636988754182,2021-11-15T10:05:54.182,0.950,0.366,-0.427,1.220
1636988754192,2021-11-15T10:05:54.192,0.960,0.000,-0.305,0.915
1636988754202,2021-11-15T10:05:54.202,0.970,-0.305,-0.122,0.305
1636988754212,2021-11-15T10:05:54.212,0.980,-0.366,0.061,0.061
1636988754222,2021-11-15T10:05:54.222,0.990,0.061,0.183,0.244
1636988754232,2021-11-15T10:05:54.232,1.000,0.305,0.183,0.549
1636988754242,2021-11-15T10:05:54.242,1.010,0.122,0.000,0.976
1636988754252,2021-11-15T10:05:54.252,1.020,0.000,0.000,1.463
1636988754262,2021-11-15T10:05:54.262,1.030,0.244,0.000,2.195
1636988754272,2021-11-15T10:05:54.272,1.040,0.366,0.000,2.805
1636988754282,2021-11-15T10:05:54.282,1.050,0.427,0.000,3.232
1636988754292,2021-11-15T10:05:54.292,1.060,0.183,-0.122,3.598
1636988754302,2021-11-15T10:05:54.302,1.070,0.122,-0.122,3.537
1636988754312,2021-11-15T10:05:54.312,1.080,-0.122,-0.183,2.988
1636988754322,2021-11-15T10:05:54.322,1.090,-0.427,-0.183,2.500
