epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1603555954997,2020-10-24T12:12:34.997,0.0,-5.019706292510391e-06,1.8716721304511735e-06,-1.4765402043957091e-06
1603555955047,2020-10-24T12:12:35.047,0.05,-5.188788527714332e-06,2.6779287498321144e-06,-2.0093704285364997e-06
1603555955097,2020-10-24T12:12:35.097,0.1,-5.184947223130906e-06,2.918062675365741e-06,-1.8029134498272629e-06
1603555955147,2020-10-24T12:12:35.147,0.15,-5.396470459590436e-06,2.83117098980198e-06,-1.279343114973104e-06
1603555955197,2020-10-24T12:12:35.197,0.2,-6.042603474140277e-06,2.8457329299913e-06,-1.302854518938063e-06
1603555955247,2020-10-24T12:12:35.247,0.25,-6.524540848281522e-06,2.811461529864615e-06,-1.7741613885584924e-06
1603555955297,2020-10-24T12:12:35.297,0.3,-6.268620832898818e-06,2.5153599518163337e-06,-1.8412667585880272e-06
1603555955347,2020-10-24T12:12:35.347,0.35,-5.640604145406893e-06,2.3405132544679686e-06,-1.2479889402747875e-06
1603555955397,2020-10-24T12:12:35.397,0.4,-5.280843250079393e-06,2.647899950222305e-06,-5.265725202264185e-07
1603555955447,2020-10-24T12:12:35.447,0.45,-5.033479328408367e-06,3.012913325710051e-06,-5.748433404431098e-08
1603555955497,2020-10-24T12:12:35.497,0.5,-4.284788200359157e-06,2.869415161281138e-06,1.3742418736629465e-07
1603555955547,2020-10-24T12:12:35.547,0.55,-3.0807123328575373e-06,2.483121232707058e-06,-7.243351281046458e-08
1603555955597,2020-10-24T12:12:35.597,0.6,-2.1545515033319345e-06,2.4760808963592327e-06,-7.503946628465463e-07
1603555955647,2020-10-24T12:12:35.647,0.65,-1.8254816285738176e-06,2.7663698195773523e-06,-1.478789981210638e-06
1603555955697,2020-10-24T12:12:35.697,0.7,-1.5930690219117253e-06,2.8221216417443824e-06,-1.6847658590659503e-06
1603555955747,2020-10-24T12:12:35.747,0.75,-1.0142101196808086e-06,2.6607580214905817e-06,-1.2096354162980408e-06
1603555955797,2020-10-24T12:12:35.797,0.8,-2.1853224953511898e-07,2.7497158212234327e-06,-4.1711287123795913e-07
1603555955847,2020-10-24T12:12:35.847,0.85,6.408284504018336e-07,3.0921996553015026e-06,8.862379739091421e-08
1603555955897,2020-10-24T12:12:35.897,0.9,1.6156295632786792e-06,3.158622710471999e-06,5.145216169503012e-09
1603555955947,2020-10-24T12:12:35.947,0.95,2.5601427212883945e-06,2.6691505108143934e-06,-2.9925186396241315e-07
1603555955997,2020-10-24T12:12:35.997,1.0,3.2950248918555384e-06,1.9405893061843716e-06,-2.515486736080622e-07
1603555956047,2020-10-24T12:12:36.047,1.05,4.0632332466417274e-06,1.5498486054290616e-06,1.1208335312732723e-07
1603555956097,2020-10-24T12:12:36.097,1.1,5.138186240635198e-06,1.8593164199730535e-06,1.884160579319377e-07
1603555956147,2020-10-24T12:12:36.147,1.15,6.199444352041386e-06,2.6065437727401775e-06,-3.726144017618623e-07
1603555956197,2020-10-24T12:12:36.197,1.2,6.6753382775592706e-06,2.98648091331732e-06,-1.3015698709816567e-06
1603555956247,2020-10-24T12:12:36.247,1.25,6.5872747007045185e-06,2.483956162104236e-06,-2.2206521012007675e-06
1603555956297,2020-10-24T12:12:36.297,1.3,6.563571328539929e-06,1.4034795254794185e-06,-3.1565992522648433e-06
1603555956347,2020-10-24T12:12:36.347,1.35,6.939505524523505e-06,3.5142512959869467e-07,-4.347621151644677e-06
1603555956397,2020-10-24T12:12:36.397,1.4,7.4105767214464494e-06,-3.5089988341633257e-07,-5.770668760220928e-06
