epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1604762987818,2020-11-07T10:29:47.818,0.0,8.745535711948374e-07,4.7290298344950665e-08,4.392676133992315e-06
1604762987868,2020-11-07T10:29:47.868,0.05,-3.9285210190482577e-07,-5.579459923481978e-07,5.595245953538671e-06
1604762987918,2020-11-07T10:29:47.918,0.1,-9.914920284077918e-07,-6.785966848199554e-07,6.002462958636694e-06
1604762987968,2020-11-07T10:29:47.968,0.15,-8.955058526694345e-07,-4.319993976772547e-07,5.751599946759319e-06
1604762988018,2020-11-07T10:29:48.018,0.2,-7.15365839917237e-07,-3.6667100753117435e-07,5.610494415525545e-06
1604762988068,2020-11-07T10:29:48.068,0.25,-9.59960466474078e-07,-7.170737131024399e-07,5.890156201646645e-06
1604762988118,2020-11-07T10:29:48.118,0.3,-1.4555704297686503e-06,-1.1558861563362744e-06,6.121772402896147e-06
1604762988168,2020-11-07T10:29:48.168,0.35,-1.7446973498348044e-06,-1.339287502696952e-06,5.978823823265854e-06
1604762988218,2020-11-07T10:29:48.218,0.4,-1.7773227360681415e-06,-1.2935413908484972e-06,5.922402568475244e-06
1604762988268,2020-11-07T10:29:48.268,0.45,-1.8054951120551778e-06,-1.1561809615555106e-06,6.404513924863432e-06
1604762988318,2020-11-07T10:29:48.318,0.5,-1.9058436575096035e-06,-9.023444340598983e-07,7.000717885139738e-06
1604762988368,2020-11-07T10:29:48.368,0.55,-2.00944920601713e-06,-5.121681342358185e-07,7.0011117526885675e-06
1604762988418,2020-11-07T10:29:48.418,0.6,-2.1001836150418004e-06,-2.0919417359439958e-07,6.432894143917302e-06
1604762988468,2020-11-07T10:29:48.468,0.65,-2.141435114167121e-06,-2.506931773094632e-07,5.924852772481825e-06
1604762988518,2020-11-07T10:29:48.518,0.7,-2.16892319682257e-06,-4.5813706431063445e-07,5.857268335719457e-06
1604762988568,2020-11-07T10:29:48.568,0.75,-2.4596501090975237e-06,-3.5318565202254294e-07,6.110405572274789e-06
1604762988618,2020-11-07T10:29:48.618,0.8,-3.075686330680704e-06,4.50689558722506e-08,6.4909443529994505e-06
1604762988668,2020-11-07T10:29:48.668,0.85,-3.443778752960089e-06,1.2600823308287428e-07,6.94677078460596e-06
1604762988718,2020-11-07T10:29:48.718,0.9,-3.1172981064448713e-06,-2.698245641987736e-07,7.306701455556799e-06
1604762988768,2020-11-07T10:29:48.768,0.95,-2.636924338909232e-06,-4.405966814245846e-07,7.294318390676459e-06
1604762988818,2020-11-07T10:29:48.818,1.0,-2.8004779880710643e-06,7.297210912487799e-09,7.027641454585704e-06
1604762988868,2020-11-07T10:29:48.868,1.05,-3.4397894508044705e-06,3.706963328535666e-07,6.961135463218574e-06
1604762988918,2020-11-07T10:29:48.918,1.1,-3.802291644952768e-06,-8.210913443807818e-09,7.145711758305352e-06
1604762988968,2020-11-07T10:29:48.968,1.15,-3.7962229156691823e-06,-6.101213124698334e-07,7.2139408368840966e-06
1604762989018,2020-11-07T10:29:49.018,1.2,-3.923022374387718e-06,-6.516855602101188e-07,7.084230604525072e-06
1604762989068,2020-11-07T10:29:49.068,1.25,-4.275000332763001e-06,-2.997197802193789e-07,6.962205685044209e-06
1604762989118,2020-11-07T10:29:49.118,1.3,-4.5190560615491884e-06,-1.0656583130920155e-07,6.875555169344994e-06
1604762989168,2020-11-07T10:29:49.168,1.35,-4.60767673709597e-06,-8.23074382943033e-08,6.805494415364913e-06
1604762989218,2020-11-07T10:29:49.218,1.4,-4.7602400358711575e-06,8.918079693498484e-09,6.889834500351177e-06
1604762989268,2020-11-07T10:29:49.268,1.45,-4.9860621027697475e-06,1.2387876335826652e-07,7.089040058633344e-06
1604762989318,2020-11-07T10:29:49.318,1.5,-5.0750191413138795e-06,8.100710683825993e-08,7.115950207628848e-06
1604762989368,2020-11-07T10:29:49.368,1.55,-4.8783025199975065e-06,-1.3366452881190285e-07,6.9680004850794415e-06
1604762989418,2020-11-07T10:29:49.418,1.6,-4.4953395923191675e-06,-3.4978005544546684e-07,7.0632607523940504e-06
1604762989468,2020-11-07T10:29:49.468,1.65,-4.3001515712687836e-06,-4.242146901161027e-07,7.5598633300971665e-06
1604762989518,2020-11-07T10:29:49.518,1.7,-4.594868438688629e-06,-3.198907323952723e-07,7.932685220191343e-06
1604762989568,2020-11-07T10:29:49.568,1.75,-5.113508566709911e-06,2.649969556023536e-09,7.684244216684628e-06
1604762989618,2020-11-07T10:29:49.618,1.8,-5.227896364491775e-06,4.964748381305516e-07,7.189688850269547e-06
1604762989668,2020-11-07T10:29:49.668,1.85,-4.858590370491533e-06,9.644915040429852e-07,7.2014665348097105e-06
1604762989718,2020-11-07T10:29:49.718,1.9,-4.713740611526857e-06,1.3106182628372033e-06,7.765568151874662e-06
1604762989768,2020-11-07T10:29:49.768,1.95,-5.224752622754774e-06,1.5539960917840613e-06,8.289883320119724e-06
1604762989818,2020-11-07T10:29:49.818,2.0,-5.794707558403489e-06,1.6558165908377195e-06,8.403416625884305e-06
1604762989868,2020-11-07T10:29:49.868,2.05,-5.724615639653036e-06,1.7488041062782994e-06,8.284051467417514e-06
1604762989918,2020-11-07T10:29:49.918,2.1,-5.341928665533894e-06,2.1650104277023917e-06,8.412974894658114e-06
1604762989968,2020-11-07T10:29:49.968,2.15,-5.506195655703199e-06,2.8890805094063657e-06,9.0683178053619e-06
1604762990018,2020-11-07T10:29:50.018,2.2,-6.414880903994555e-06,3.5795436436605847e-06,9.861285896381479e-06
1604762990068,2020-11-07T10:29:50.068,2.25,-7.462243811500644e-06,4.224457352980847e-06,1.0122150320914882e-05
1604762990118,2020-11-07T10:29:50.118,2.3,-8.112937022853214e-06,4.979773102276649e-06,9.768044175184996e-06
1604762990168,2020-11-07T10:29:50.168,2.35,-8.648715427306241e-06,5.521995495473854e-06,9.160168421510893e-06
1604762990218,2020-11-07T10:29:50.218,2.4,-9.851654085362439e-06,5.476480904872698e-06,8.349212903708527e-06
1604762990268,2020-11-07T10:29:50.268,2.45,-1.1858596368599876e-05,5.156985339121283e-06,7.282056147695465e-06
1604762990318,2020-11-07T10:29:50.318,2.5,-1.3789264420711397e-05,5.046255576256095e-06,6.333632389761895e-06
1604762990368,2020-11-07T10:29:50.368,2.55,-1.4749790179049805e-05,4.976250545243829e-06,5.745044960600083e-06
