epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1650900575348,2022-04-25T11:29:35.348,12.483,98440.656
1650900575484,2022-04-25T11:29:35.484,12.619,98434.844
1650900575621,2022-04-25T11:29:35.621,12.756,98442.461
1650900575755,2022-04-25T11:29:35.755,12.890,98439.352
1650900575892,2022-04-25T11:29:35.892,13.027,98441.672
1650900576026,2022-04-25T11:29:36.026,13.161,98434.844
1650900576163,2022-04-25T11:29:36.163,13.298,98438.563
1650900576299,2022-04-25T11:29:36.299,13.434,98434.844
1650900576434,2022-04-25T11:29:36.434,13.569,98442.461
1650900576570,2022-04-25T11:29:36.570,13.705,98441.672
1650900576706,2022-04-25T11:29:36.706,13.841,98435.641
1650900576841,2022-04-25T11:29:36.841,13.976,98434.055
1650900576977,2022-04-25T11:29:36.977,14.112,98439.859
1650900577113,2022-04-25T11:29:37.113,14.248,98437.766
1650900577248,2022-04-25T11:29:37.248,14.383,98441.672
1650900577384,2022-04-25T11:29:37.384,14.519,98435.359
1650900577520,2022-04-25T11:29:37.520,14.655,98436.656
1650900577655,2022-04-25T11:29:37.655,14.790,98431.453
1650900577791,2022-04-25T11:29:37.791,14.926,98438.242
1650900577926,2022-04-25T11:29:37.926,15.061,98436.938
1650900578062,2022-04-25T11:29:38.062,15.197,98432.758
1650900578199,2022-04-25T11:29:38.199,15.334,98442.656
1650900578333,2022-04-25T11:29:38.333,15.468,98438.563
1650900578470,2022-04-25T11:29:38.470,15.605,98438.242
1650900578606,2022-04-25T11:29:38.606,15.741,98436.656
1650900578741,2022-04-25T11:29:38.741,15.876,98438.750
1650900578877,2022-04-25T11:29:38.877,16.012,98434.055
1650900579013,2022-04-25T11:29:39.013,16.148,98436.469
1650900579148,2022-04-25T11:29:39.148,16.283,98436.656
1650900579284,2022-04-25T11:29:39.284,16.419,98436.938
1650900579419,2022-04-25T11:29:39.419,16.554,98440.563
1650900579555,2022-04-25T11:29:39.555,16.690,98432.438
1650900579691,2022-04-25T11:29:39.691,16.826,98439.258
1650900579828,2022-04-25T11:29:39.828,16.963,98437.766
1650900579962,2022-04-25T11:29:39.962,17.097,98434.563
1650900580099,2022-04-25T11:29:40.099,17.234,98440.047
1650900580233,2022-04-25T11:29:40.233,17.368,98437.953
1650900580370,2022-04-25T11:29:40.370,17.505,98440.047
1650900580506,2022-04-25T11:29:40.506,17.641,98441.672
1650900580641,2022-04-25T11:29:40.641,17.776,98437.453
1650900580777,2022-04-25T11:29:40.777,17.912,98436.938
1650900580913,2022-04-25T11:29:40.913,18.048,98440.563
1650900581048,2022-04-25T11:29:41.048,18.183,98440.047
1650900581184,2022-04-25T11:29:41.184,18.319,98437.953
1650900581320,2022-04-25T11:29:41.320,18.455,98435.359
1650900581455,2022-04-25T11:29:41.455,18.590,98438.469
1650900581591,2022-04-25T11:29:41.591,18.726,98439.258
1650900581726,2022-04-25T11:29:41.726,18.861,98441.672
1650900581862,2022-04-25T11:29:41.862,18.997,98444.266
1650900581998,2022-04-25T11:29:41.998,19.133,98440.242
1650900582133,2022-04-25T11:29:42.133,19.268,98444.461
1650900582269,2022-04-25T11:29:42.269,19.404,98441.859
1650900582406,2022-04-25T11:29:42.406,19.541,98438.469
1650900582540,2022-04-25T11:29:42.540,19.675,98437.164
1650900582677,2022-04-25T11:29:42.677,19.812,98440.047
1650900582813,2022-04-25T11:29:42.813,19.948,98437.453
1650900582948,2022-04-25T11:29:42.948,20.083,98439.258
1650900583084,2022-04-25T11:29:43.084,20.219,98436.656
1650900583219,2022-04-25T11:29:43.219,20.354,98437.953
1650900583355,2022-04-25T11:29:43.355,20.490,98436.156
1650900583491,2022-04-25T11:29:43.491,20.626,98434.250
1650900583626,2022-04-25T11:29:43.626,20.761,98437.953
1650900583762,2022-04-25T11:29:43.762,20.897,98438.469
1650900583897,2022-04-25T11:29:43.897,21.032,98440.563
1650900584033,2022-04-25T11:29:44.033,21.168,98441.063
1650900584169,2022-04-25T11:29:44.169,21.304,98435.859
1650900584304,2022-04-25T11:29:44.304,21.439,98442.844
1650900584440,2022-04-25T11:29:44.440,21.575,98440.563
1650900584577,2022-04-25T11:29:44.577,21.712,98441.547
1650900584711,2022-04-25T11:29:44.711,21.846,98436.344
1650900584848,2022-04-25T11:29:44.848,21.983,98440.242
1650900584984,2022-04-25T11:29:44.984,22.119,98440.242
1650900585119,2022-04-25T11:29:45.119,22.254,98437.953
1650900585255,2022-04-25T11:29:45.255,22.390,98437.641
1650900585390,2022-04-25T11:29:45.390,22.525,98437.641
1650900585526,2022-04-25T11:29:45.526,22.661,98437.641
1650900585662,2022-04-25T11:29:45.662,22.797,98441.859
1650900585797,2022-04-25T11:29:45.797,22.932,98438.938
1650900585933,2022-04-25T11:29:45.933,23.068,98438.148
1650900586069,2022-04-25T11:29:46.069,23.204,98432.156
1650900586204,2022-04-25T11:29:46.204,23.339,98432.438
1650900586340,2022-04-25T11:29:46.340,23.475,98438.656
1650900586476,2022-04-25T11:29:46.476,23.611,98438.938
1650900586611,2022-04-25T11:29:46.611,23.746,98436.844
1650900586747,2022-04-25T11:29:46.747,23.882,98436.344
1650900586882,2022-04-25T11:29:46.882,24.017,98439.453
1650900587018,2022-04-25T11:29:47.018,24.153,98434.758
1650900587155,2022-04-25T11:29:47.155,24.290,98437.641
1650900587291,2022-04-25T11:29:47.291,24.426,98436.844
1650900587426,2022-04-25T11:29:47.426,24.561,98439.453
1650900587562,2022-04-25T11:29:47.562,24.697,98435.547
1650900587697,2022-04-25T11:29:47.697,24.832,98438.148
1650900587833,2022-04-25T11:29:47.833,24.968,98437.359
1650900587969,2022-04-25T11:29:47.969,25.104,98434.758
1650900588104,2022-04-25T11:29:48.104,25.239,98434.758
1650900588240,2022-04-25T11:29:48.240,25.375,98439.453
1650900588376,2022-04-25T11:29:48.376,25.511,98439.953
1650900588511,2022-04-25T11:29:48.511,25.646,98434.438
1650900588647,2022-04-25T11:29:48.647,25.782,98435.734
1650900588782,2022-04-25T11:29:48.782,25.917,98440.438
1650900588918,2022-04-25T11:29:48.918,26.053,98438.656
1650900589055,2022-04-25T11:29:49.055,26.190,98439.453
1650900589189,2022-04-25T11:29:49.189,26.324,98439.953
1650900589326,2022-04-25T11:29:49.326,26.461,98437.547
1650900589462,2022-04-25T11:29:49.462,26.597,98435.734
1650900589597,2022-04-25T11:29:49.597,26.732,98438.344
1650900589733,2022-04-25T11:29:49.733,26.868,98436.750
1650900589868,2022-04-25T11:29:49.868,27.003,98438.656
1650900590004,2022-04-25T11:29:50.004,27.139,98439.641
1650900590140,2022-04-25T11:29:50.140,27.275,98437.039
1650900590275,2022-04-25T11:29:50.275,27.410,98435.453
1650900590411,2022-04-25T11:29:50.411,27.546,98434.945
1650900590547,2022-04-25T11:29:50.547,27.682,98432.844
1650900590682,2022-04-25T11:29:50.682,27.817,98434.945
1650900590818,2022-04-25T11:29:50.818,27.953,98432.844
1650900590955,2022-04-25T11:29:50.955,28.090,98434.438
1650900591089,2022-04-25T11:29:51.089,28.224,98433.641
1650900591225,2022-04-25T11:29:51.225,28.360,98438.055
1650900591360,2022-04-25T11:29:51.360,28.495,98426.539
1650900591496,2022-04-25T11:29:51.496,28.631,98432.344
1650900591633,2022-04-25T11:29:51.633,28.768,98434.156
1650900591767,2022-04-25T11:29:51.767,28.902,98436.750
1650900591904,2022-04-25T11:29:51.904,29.039,98432.844
1650900592040,2022-04-25T11:29:52.040,29.175,98436.750
1650900592175,2022-04-25T11:29:52.175,29.310,98437.039
1650900592311,2022-04-25T11:29:52.311,29.446,98434.625
1650900592446,2022-04-25T11:29:52.446,29.581,98435.453
1650900592582,2022-04-25T11:29:52.582,29.717,98434.945
1650900592718,2022-04-25T11:29:52.718,29.853,98436.750
1650900592853,2022-04-25T11:29:52.853,29.988,98433.828
1650900592989,2022-04-25T11:29:52.989,30.124,98434.625
1650900593125,2022-04-25T11:29:53.125,30.260,98438.055
1650900593260,2022-04-25T11:29:53.260,30.395,98438.844
1650900593396,2022-04-25T11:29:53.396,30.531,98436.438
1650900593533,2022-04-25T11:29:53.533,30.668,98434.156
1650900593667,2022-04-25T11:29:53.667,30.802,98435.453
1650900593804,2022-04-25T11:29:53.804,30.939,98433.828
1650900593938,2022-04-25T11:29:53.938,31.073,98434.625
1650900594075,2022-04-25T11:29:54.075,31.210,98434.625
1650900594211,2022-04-25T11:29:54.211,31.346,98433.328
1650900594346,2022-04-25T11:29:54.346,31.481,98437.734
1650900594482,2022-04-25T11:29:54.482,31.617,98434.344
1650900594618,2022-04-25T11:29:54.618,31.753,98435.141
1650900594753,2022-04-25T11:29:54.753,31.888,98434.625
1650900594889,2022-04-25T11:29:54.889,32.024,98433.328
