epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1636732054877,2021-11-12T10:47:34.877,0.000,-0.000017437,0.000000000,-0.000152625
1636732054927,2021-11-12T10:47:34.927,0.050,-0.000017437,0.000014187,-0.000152312
1636732054977,2021-11-12T10:47:34.977,0.100,-0.000016000,0.000000000,-0.000151563
1636732055027,2021-11-12T10:47:35.027,0.150,-0.000018188,0.000013812,-0.000153125
1636732055077,2021-11-12T10:47:35.077,0.200,-0.000017125,0.000012000,-0.000153125
1636732055127,2021-11-12T10:47:35.127,0.250,-0.000015625,0.000012750,-0.000151313
1636732055177,2021-11-12T10:47:35.177,0.300,-0.000017812,0.000012000,-0.000153188
1636732055227,2021-11-12T10:47:35.227,0.350,-0.000019312,0.000013500,-0.000152437
1636732055277,2021-11-12T10:47:35.277,0.400,-0.000018938,0.000013125,-0.000153563
1636732055327,2021-11-12T10:47:35.327,0.450,-0.000018188,0.000012375,-0.000153937
1636732055377,2021-11-12T10:47:35.377,0.500,-0.000019625,0.000011312,-0.000156938
1636732055427,2021-11-12T10:47:35.427,0.550,-0.000018562,0.000005500,-0.000157750
1636732055477,2021-11-12T10:47:35.477,0.600,-0.000018188,0.000014187,-0.000157000
1636732055527,2021-11-12T10:47:35.527,0.650,-0.000020000,0.000012375,-0.000159250
1636732055577,2021-11-12T10:47:35.577,0.700,-0.000020375,0.000015313,-0.000157750
1636732055627,2021-11-12T10:47:35.627,0.750,-0.000020375,0.000012375,-0.000158125
1636732055677,2021-11-12T10:47:35.677,0.800,-0.000020000,0.000014187,-0.000156187
1636732055727,2021-11-12T10:47:35.727,0.850,-0.000019312,0.000013500,-0.000158875
1636732055777,2021-11-12T10:47:35.777,0.900,-0.000018938,0.000004375,-0.000156562
1636732055827,2021-11-12T10:47:35.827,0.950,-0.000020375,0.000013500,-0.000158875
1636732055877,2021-11-12T10:47:35.877,1.000,-0.000016375,0.000013500,-0.000158125
1636732055927,2021-11-12T10:47:35.927,1.050,-0.000018938,0.000012750,-0.000156625
1636732055977,2021-11-12T10:47:35.977,1.100,-0.000020000,0.000014187,-0.000159250
1636732056027,2021-11-12T10:47:36.027,1.150,-0.000019312,0.000014938,-0.000157750
1636732056077,2021-11-12T10:47:36.077,1.200,-0.000018188,0.000014187,-0.000158125
1636732056127,2021-11-12T10:47:36.127,1.250,-0.000018562,0.000012750,-0.000157812
1636732056177,2021-11-12T10:47:36.177,1.300,-0.000020000,0.000013812,-0.000158500
1636732056227,2021-11-12T10:47:36.227,1.350,-0.000021125,0.000010563,-0.000157438
1636732056277,2021-11-12T10:47:36.277,1.400,-0.000019312,0.000013500,-0.000157750
1636732056327,2021-11-12T10:47:36.327,1.450,-0.000018188,0.000013812,-0.000156625
1636732056377,2021-11-12T10:47:36.377,1.500,-0.000017812,0.000014562,-0.000157000
1636732056427,2021-11-12T10:47:36.427,1.550,-0.000019312,0.000013812,-0.000158125
1636732056477,2021-11-12T10:47:36.477,1.600,-0.000016750,-0.000000312,-0.000156250
1636732056527,2021-11-12T10:47:36.527,1.650,-0.000017437,0.000013500,-0.000156625
1636732056577,2021-11-12T10:47:36.577,1.700,-0.000018562,-0.000000688,-0.000155875
1636732056627,2021-11-12T10:47:36.627,1.750,-0.000017437,0.000014187,-0.000157063
1636732056677,2021-11-12T10:47:36.677,1.800,-0.000018188,0.000013125,-0.000155875
1636732056727,2021-11-12T10:47:36.727,1.850,-0.000018938,0.000013812,-0.000154750
1636732056777,2021-11-12T10:47:36.777,1.900,-0.000017437,0.000013500,-0.000156312
1636732056827,2021-11-12T10:47:36.827,1.950,-0.000018938,0.000012375,-0.000154000
1636732056877,2021-11-12T10:47:36.877,2.000,-0.000017812,0.000010563,-0.000153625
1636732056927,2021-11-12T10:47:36.927,2.050,-0.000018562,0.000001125,-0.000153625
1636732056977,2021-11-12T10:47:36.977,2.100,-0.000019625,0.000007688,-0.000155500
1636732057027,2021-11-12T10:47:37.027,2.150,-0.000018562,0.000006187,-0.000155563
1636732057077,2021-11-12T10:47:37.077,2.200,-0.000019312,0.000007688,-0.000152500
1636732057127,2021-11-12T10:47:37.127,2.250,-0.000018562,0.000013125,-0.000155125
1636732057177,2021-11-12T10:47:37.177,2.300,-0.000017125,0.000011625,-0.000152875
1636732057227,2021-11-12T10:47:37.227,2.350,-0.000017812,0.000013500,-0.000154000
1636732057277,2021-11-12T10:47:37.277,2.400,-0.000018562,0.000012750,-0.000152562
1636732057327,2021-11-12T10:47:37.327,2.450,-0.000017437,0.000012375,-0.000154000
1636732057377,2021-11-12T10:47:37.377,2.500,-0.000018562,-0.000003625,-0.000152938
1636732057427,2021-11-12T10:47:37.427,2.550,-0.000018188,0.000013812,-0.000154000
1636732057477,2021-11-12T10:47:37.477,2.600,-0.000017812,0.000013500,-0.000152500
1636732057527,2021-11-12T10:47:37.527,2.650,-0.000017125,0.000013500,-0.000152500
1636732057577,2021-11-12T10:47:37.577,2.700,-0.000018188,0.000013812,-0.000152875
1636732057627,2021-11-12T10:47:37.627,2.750,-0.000017812,0.000013812,-0.000152562
1636732057677,2021-11-12T10:47:37.677,2.800,-0.000016375,0.000013500,-0.000152562
1636732057727,2021-11-12T10:47:37.727,2.850,-0.000016375,0.000000000,-0.000157812
1636732057777,2021-11-12T10:47:37.777,2.900,-0.000016750,0.000013812,-0.000154375
1636732057827,2021-11-12T10:47:37.827,2.950,-0.000017125,0.000013812,-0.000152875
1636732057877,2021-11-12T10:47:37.877,3.000,-0.000018562,0.000012750,-0.000152562
1636732057927,2021-11-12T10:47:37.927,3.050,-0.000017812,0.000013500,-0.000153688
1636732057977,2021-11-12T10:47:37.977,3.100,-0.000016000,0.000013812,-0.000152187
1636732058027,2021-11-12T10:47:38.027,3.150,-0.000018188,0.000012375,-0.000152187
1636732058077,2021-11-12T10:47:38.077,3.200,-0.000017437,0.000012375,-0.000151375
1636732058127,2021-11-12T10:47:38.127,3.250,-0.000017437,0.000012000,-0.000152187
1636732058177,2021-11-12T10:47:38.177,3.300,-0.000016375,0.000001500,-0.000149875
1636732058227,2021-11-12T10:47:38.227,3.350,-0.000018938,0.000012000,-0.000150250
1636732058277,2021-11-12T10:47:38.277,3.400,-0.000016000,0.000009125,-0.000150250
1636732058327,2021-11-12T10:47:38.327,3.450,-0.000017125,0.000011625,-0.000148375
1636732058377,2021-11-12T10:47:38.377,3.500,-0.000017437,0.000012375,-0.000148000
1636732058427,2021-11-12T10:47:38.427,3.550,-0.000016000,0.000013812,-0.000146437
1636732058477,2021-11-12T10:47:38.477,3.600,-0.000014562,0.000012375,-0.000148750
1636732058527,2021-11-12T10:47:38.527,3.650,-0.000015313,0.000005813,-0.000145313
1636732058577,2021-11-12T10:47:38.577,3.700,-0.000015313,0.000011625,-0.000148375
1636732058627,2021-11-12T10:47:38.627,3.750,-0.000014938,0.000011312,-0.000146875
1636732058677,2021-11-12T10:47:38.677,3.800,-0.000015313,0.000012750,-0.000145688
1636732058727,2021-11-12T10:47:38.727,3.850,-0.000014562,0.000011625,-0.000148000
1636732058777,2021-11-12T10:47:38.777,3.900,-0.000016000,0.000013812,-0.000145750
1636732058827,2021-11-12T10:47:38.827,3.950,-0.000016000,0.000012375,-0.000147188
1636732058877,2021-11-12T10:47:38.877,4.000,-0.000014562,0.000011625,-0.000146063
1636732058927,2021-11-12T10:47:38.927,4.050,-0.000015625,0.000011625,-0.000147625
1636732058977,2021-11-12T10:47:38.977,4.100,-0.000016375,0.000007313,-0.000146125
1636732059027,2021-11-12T10:47:39.027,4.150,-0.000014562,0.000010937,-0.000146500
1636732059077,2021-11-12T10:47:39.077,4.200,-0.000015625,0.000008750,-0.000145000
1636732059127,2021-11-12T10:47:39.127,4.250,-0.000014562,0.000010937,-0.000146125
1636732059177,2021-11-12T10:47:39.177,4.300,-0.000014938,0.000011625,-0.000146875
1636732059227,2021-11-12T10:47:39.227,4.350,-0.000016000,0.000013500,-0.000145750
