epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1635775928125,2021-11-01T10:12:08.125,0.000,99347.734
1635775928260,2021-11-01T10:12:08.260,0.135,99345.609
1635775928396,2021-11-01T10:12:08.396,0.271,99349.266
1635775928532,2021-11-01T10:12:08.532,0.407,99349.836
1635775928667,2021-11-01T10:12:08.667,0.542,99348.500
1635775928803,2021-11-01T10:12:08.803,0.678,99351.391
1635775928939,2021-11-01T10:12:08.939,0.814,99347.156
1635775929074,2021-11-01T10:12:09.074,0.949,99350.594
1635775929210,2021-11-01T10:12:09.210,1.085,99347.922
1635775929347,2021-11-01T10:12:09.347,1.222,99348.500
1635775929481,2021-11-01T10:12:09.481,1.356,99349.266
1635775929618,2021-11-01T10:12:09.618,1.493,99344.484
1635775929752,2021-11-01T10:12:09.752,1.627,99344.703
1635775929889,2021-11-01T10:12:09.889,1.764,99348.711
1635775930025,2021-11-01T10:12:10.025,1.900,99351.938
1635775930160,2021-11-01T10:12:10.160,2.035,99348.711
1635775930296,2021-11-01T10:12:10.296,2.171,99350.055
1635775930432,2021-11-01T10:12:10.432,2.307,99351.938
1635775930568,2021-11-01T10:12:10.568,2.443,99347.156
1635775930703,2021-11-01T10:12:10.703,2.578,99346.031
1635775930839,2021-11-01T10:12:10.839,2.714,99346.031
1635775930974,2021-11-01T10:12:10.974,2.849,99344.703
1635775931110,2021-11-01T10:12:11.110,2.985,99339.703
1635775931245,2021-11-01T10:12:11.245,3.120,99344.703
1635775931381,2021-11-01T10:12:11.381,3.256,99344.125
1635775931518,2021-11-01T10:12:11.518,3.393,99343.359
1635775931652,2021-11-01T10:12:11.652,3.527,99343.539
1635775931789,2021-11-01T10:12:11.789,3.664,99344.125
1635775931925,2021-11-01T10:12:11.925,3.800,99344.883
1635775932060,2021-11-01T10:12:12.060,3.935,99343.359
1635775932196,2021-11-01T10:12:12.196,4.071,99343.000
1635775932332,2021-11-01T10:12:12.332,4.207,99343.359
1635775932467,2021-11-01T10:12:12.467,4.342,99347.563
1635775932603,2021-11-01T10:12:12.603,4.478,99345.461
1635775932739,2021-11-01T10:12:12.739,4.614,99344.125
1635775932874,2021-11-01T10:12:12.874,4.749,99346.797
1635775933010,2021-11-01T10:12:13.010,4.885,99344.336
1635775933147,2021-11-01T10:12:13.147,5.022,99340.859
1635775933281,2021-11-01T10:12:13.281,5.156,99341.227
1635775933418,2021-11-01T10:12:13.418,5.293,99348.898
1635775933552,2021-11-01T10:12:13.552,5.427,99344.125
1635775933689,2021-11-01T10:12:13.689,5.564,99344.125
1635775933825,2021-11-01T10:12:13.825,5.700,99342.203
1635775933960,2021-11-01T10:12:13.960,5.835,99346.797
1635775934096,2021-11-01T10:12:14.096,5.971,99339.883
1635775934232,2021-11-01T10:12:14.232,6.107,99342.781
1635775934367,2021-11-01T10:12:14.367,6.242,99340.859
1635775934503,2021-11-01T10:12:14.503,6.378,99342.781
1635775934639,2021-11-01T10:12:14.639,6.514,99338.188
1635775934774,2021-11-01T10:12:14.774,6.649,99344.125
1635775934910,2021-11-01T10:12:14.910,6.785,99347.016
1635775935046,2021-11-01T10:12:15.046,6.921,99342.203
1635775935181,2021-11-01T10:12:15.181,7.056,99342.203
1635775935317,2021-11-01T10:12:15.317,7.192,99342.203
1635775935452,2021-11-01T10:12:15.452,7.327,99346.219
1635775935588,2021-11-01T10:12:15.588,7.463,99343.539
1635775935725,2021-11-01T10:12:15.725,7.600,99342.203
1635775935859,2021-11-01T10:12:15.859,7.734,99346.219
1635775935996,2021-11-01T10:12:15.996,7.871,99346.797
1635775936132,2021-11-01T10:12:16.132,8.007,99352.563
1635775936267,2021-11-01T10:12:16.267,8.142,99345.672
1635775936403,2021-11-01T10:12:16.403,8.278,99346.219
1635775936538,2021-11-01T10:12:16.538,8.413,99346.656
1635775936674,2021-11-01T10:12:16.674,8.549,99343.539
1635775936810,2021-11-01T10:12:16.810,8.685,99343.188
1635775936945,2021-11-01T10:12:16.945,8.820,99349.117
1635775937081,2021-11-01T10:12:17.081,8.956,99348.359
1635775937217,2021-11-01T10:12:17.217,9.092,99342.781
1635775937352,2021-11-01T10:12:17.352,9.227,99350.453
1635775937488,2021-11-01T10:12:17.488,9.363,99350.453
1635775937625,2021-11-01T10:12:17.625,9.500,99345.672
1635775937759,2021-11-01T10:12:17.759,9.634,99343.188
1635775937896,2021-11-01T10:12:17.896,9.771,99347.781
1635775938032,2021-11-01T10:12:18.032,9.907,99347.563
1635775938167,2021-11-01T10:12:18.167,10.042,99345.094
1635775938303,2021-11-01T10:12:18.303,10.178,99345.094
1635775938438,2021-11-01T10:12:18.438,10.313,99351.648
1635775938574,2021-11-01T10:12:18.574,10.449,99341.656
1635775938710,2021-11-01T10:12:18.710,10.585,99351.797
1635775938846,2021-11-01T10:12:18.846,10.721,99347.414
1635775938981,2021-11-01T10:12:18.981,10.856,99348.539
1635775939117,2021-11-01T10:12:19.117,10.992,99346.656
1635775939252,2021-11-01T10:12:19.252,11.127,99343.969
1635775939388,2021-11-01T10:12:19.388,11.263,99357.000
1635775939524,2021-11-01T10:12:19.524,11.399,99346.438
1635775939659,2021-11-01T10:12:19.659,11.534,99353.344
1635775939795,2021-11-01T10:12:19.795,11.670,99347.992
1635775939932,2021-11-01T10:12:19.932,11.807,99349.328
1635775940066,2021-11-01T10:12:20.066,11.941,99347.992
1635775940203,2021-11-01T10:12:20.203,12.078,99351.648
1635775940337,2021-11-01T10:12:20.337,12.212,99352.016
1635775940474,2021-11-01T10:12:20.474,12.349,99347.992
1635775940610,2021-11-01T10:12:20.610,12.485,99345.313
1635775940745,2021-11-01T10:12:20.745,12.620,99351.070
1635775940881,2021-11-01T10:12:20.881,12.756,99348.172
1635775941017,2021-11-01T10:12:21.017,12.892,99352.406
1635775941152,2021-11-01T10:12:21.152,13.027,99350.313
1635775941288,2021-11-01T10:12:21.288,13.163,99352.984
1635775941424,2021-11-01T10:12:21.424,13.299,99347.625
1635775941559,2021-11-01T10:12:21.559,13.434,99349.734
1635775941695,2021-11-01T10:12:21.695,13.570,99353.750
1635775941830,2021-11-01T10:12:21.830,13.705,99349.734
1635775941966,2021-11-01T10:12:21.966,13.841,99350.094
1635775942103,2021-11-01T10:12:22.103,13.978,99346.438
1635775942237,2021-11-01T10:12:22.237,14.112,99354.547
1635775942374,2021-11-01T10:12:22.374,14.249,99350.313
1635775942510,2021-11-01T10:12:22.510,14.385,99347.047
1635775942645,2021-11-01T10:12:22.645,14.520,99340.938
1635775942781,2021-11-01T10:12:22.781,14.656,99350.313
1635775942917,2021-11-01T10:12:22.917,14.792,99346.289
1635775943052,2021-11-01T10:12:23.052,14.927,99343.250
1635775943188,2021-11-01T10:12:23.188,15.063,99347.047
1635775943324,2021-11-01T10:12:23.324,15.199,99350.523
1635775943459,2021-11-01T10:12:23.459,15.334,99341.141
1635775943595,2021-11-01T10:12:23.595,15.470,99345.719
1635775943730,2021-11-01T10:12:23.730,15.605,99346.508
1635775943866,2021-11-01T10:12:23.866,15.741,99347.844
1635775944002,2021-11-01T10:12:24.002,15.877,99346.508
1635775944137,2021-11-01T10:12:24.137,16.012,99349.734
1635775944273,2021-11-01T10:12:24.273,16.148,99349.188
1635775944410,2021-11-01T10:12:24.410,16.285,99343.250
1635775944544,2021-11-01T10:12:24.544,16.419,99348.609
1635775944681,2021-11-01T10:12:24.681,16.556,99343.828
1635775944815,2021-11-01T10:12:24.815,16.690,99346.508
1635775944952,2021-11-01T10:12:24.952,16.827,99346.508
1635775945088,2021-11-01T10:12:25.088,16.963,99345.922
1635775945224,2021-11-01T10:12:25.224,17.099,99345.719
1635775945359,2021-11-01T10:12:25.359,17.234,99345.922
1635775945495,2021-11-01T10:12:25.495,17.370,99342.484
