epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1635777319938,2021-11-01T10:35:19.938,0.000,99383.906
1635777320075,2021-11-01T10:35:20.075,0.137,99383.539
1635777320209,2021-11-01T10:35:20.209,0.271,99380.641
1635777320346,2021-11-01T10:35:20.346,0.408,99378.172
1635777320482,2021-11-01T10:35:20.482,0.544,99377.406
1635777320617,2021-11-01T10:35:20.617,0.679,99384.297
1635777320753,2021-11-01T10:35:20.753,0.815,99380.094
1635777320889,2021-11-01T10:35:20.889,0.951,99384.125
1635777321024,2021-11-01T10:35:21.024,1.086,99380.094
1635777321160,2021-11-01T10:35:21.160,1.222,99386.797
1635777321296,2021-11-01T10:35:21.296,1.358,99384.125
1635777321431,2021-11-01T10:35:21.431,1.493,99384.883
1635777321567,2021-11-01T10:35:21.567,1.629,99377.406
1635777321702,2021-11-01T10:35:21.702,1.764,99387.563
1635777321838,2021-11-01T10:35:21.838,1.900,99380.094
1635777321975,2021-11-01T10:35:21.975,2.037,99384.297
1635777322109,2021-11-01T10:35:22.109,2.171,99380.094
1635777322246,2021-11-01T10:35:22.246,2.308,99380.281
1635777322380,2021-11-01T10:35:22.380,2.442,99379.516
1635777322517,2021-11-01T10:35:22.517,2.579,99379.516
1635777322653,2021-11-01T10:35:22.653,2.715,99384.297
1635777322788,2021-11-01T10:35:22.788,2.850,99382.203
1635777322924,2021-11-01T10:35:22.924,2.986,99382.961
1635777323060,2021-11-01T10:35:23.060,3.122,99374.734
1635777323195,2021-11-01T10:35:23.195,3.257,99380.641
1635777323331,2021-11-01T10:35:23.331,3.393,99382.203
1635777323467,2021-11-01T10:35:23.467,3.529,99384.883
1635777323602,2021-11-01T10:35:23.602,3.664,99381.438
1635777323738,2021-11-01T10:35:23.738,3.800,99384.125
1635777323873,2021-11-01T10:35:23.873,3.935,99378.750
1635777324009,2021-11-01T10:35:24.009,4.071,99383.539
1635777324145,2021-11-01T10:35:24.145,4.207,99382.781
1635777324280,2021-11-01T10:35:24.280,4.342,99385.641
1635777324416,2021-11-01T10:35:24.416,4.478,99382.781
1635777324553,2021-11-01T10:35:24.553,4.615,99377.594
1635777324687,2021-11-01T10:35:24.687,4.749,99383.539
1635777324824,2021-11-01T10:35:24.824,4.886,99380.094
1635777324960,2021-11-01T10:35:24.960,5.022,99378.750
1635777325095,2021-11-01T10:35:25.095,5.157,99378.750
1635777325231,2021-11-01T10:35:25.231,5.293,99380.859
1635777325366,2021-11-01T10:35:25.366,5.428,99377.406
1635777325502,2021-11-01T10:35:25.502,5.564,99382.961
1635777325638,2021-11-01T10:35:25.638,5.700,99380.859
1635777325774,2021-11-01T10:35:25.774,5.836,99384.297
1635777325909,2021-11-01T10:35:25.909,5.971,99382.781
1635777326045,2021-11-01T10:35:26.045,6.107,99386.219
1635777326180,2021-11-01T10:35:26.180,6.242,99382.961
1635777326316,2021-11-01T10:35:26.316,6.378,99380.281
1635777326453,2021-11-01T10:35:26.453,6.515,99381.625
1635777326587,2021-11-01T10:35:26.587,6.649,99385.094
1635777326724,2021-11-01T10:35:26.724,6.786,99383.539
1635777326860,2021-11-01T10:35:26.860,6.922,99384.297
1635777326995,2021-11-01T10:35:26.995,7.057,99380.281
1635777327131,2021-11-01T10:35:27.131,7.193,99382.961
1635777327266,2021-11-01T10:35:27.266,7.328,99382.203
1635777327402,2021-11-01T10:35:27.402,7.464,99377.047
1635777327538,2021-11-01T10:35:27.538,7.600,99384.883
1635777327673,2021-11-01T10:35:27.673,7.735,99380.492
1635777327809,2021-11-01T10:35:27.809,7.871,99380.281
1635777327945,2021-11-01T10:35:27.945,8.007,99380.094
1635777328082,2021-11-01T10:35:28.082,8.144,99378.938
1635777328216,2021-11-01T10:35:28.216,8.278,99380.859
1635777328353,2021-11-01T10:35:28.353,8.415,99382.961
1635777328489,2021-11-01T10:35:28.489,8.551,99378.750
1635777328624,2021-11-01T10:35:28.624,8.686,99380.859
1635777328760,2021-11-01T10:35:28.760,8.822,99384.883
1635777328895,2021-11-01T10:35:28.895,8.957,99380.859
1635777329031,2021-11-01T10:35:29.031,9.093,99379.734
1635777329167,2021-11-01T10:35:29.167,9.229,99378.172
1635777329302,2021-11-01T10:35:29.302,9.364,99382.406
1635777329438,2021-11-01T10:35:29.438,9.500,99381.625
1635777329574,2021-11-01T10:35:29.574,9.636,99384.297
1635777329709,2021-11-01T10:35:29.709,9.771,99381.625
1635777329845,2021-11-01T10:35:29.845,9.907,99378.750
1635777329981,2021-11-01T10:35:29.981,10.043,99376.836
1635777330116,2021-11-01T10:35:30.116,10.178,99380.859
1635777330252,2021-11-01T10:35:30.252,10.314,99376.836
1635777330387,2021-11-01T10:35:30.387,10.449,99376.250
1635777330523,2021-11-01T10:35:30.523,10.585,99380.492
1635777330660,2021-11-01T10:35:30.660,10.722,99376.250
1635777330794,2021-11-01T10:35:30.794,10.856,99381.625
1635777330931,2021-11-01T10:35:30.931,10.993,99379.516
1635777331067,2021-11-01T10:35:31.067,11.129,99382.961
1635777331202,2021-11-01T10:35:31.202,11.264,99381.625
1635777331338,2021-11-01T10:35:31.338,11.400,99379.516
1635777331473,2021-11-01T10:35:31.473,11.535,99381.625
1635777331609,2021-11-01T10:35:31.609,11.671,99381.625
1635777331745,2021-11-01T10:35:31.745,11.807,99380.859
1635777331880,2021-11-01T10:35:31.880,11.942,99379.734
1635777332016,2021-11-01T10:35:32.016,12.078,99379.734
1635777332152,2021-11-01T10:35:32.152,12.214,99381.625
1635777332287,2021-11-01T10:35:32.287,12.349,99377.594
1635777332423,2021-11-01T10:35:32.423,12.485,99385.641
1635777332560,2021-11-01T10:35:32.560,12.622,99380.859
1635777332696,2021-11-01T10:35:32.696,12.758,99379.516
1635777332831,2021-11-01T10:35:32.831,12.893,99382.406
1635777332967,2021-11-01T10:35:32.967,13.029,99385.859
1635777333102,2021-11-01T10:35:33.102,13.164,99378.938
1635777333238,2021-11-01T10:35:33.238,13.300,99382.406
1635777333374,2021-11-01T10:35:33.374,13.436,99381.625
1635777333509,2021-11-01T10:35:33.509,13.571,99378.391
1635777333645,2021-11-01T10:35:33.645,13.707,99382.961
1635777333781,2021-11-01T10:35:33.781,13.843,99379.734
1635777333916,2021-11-01T10:35:33.916,13.978,99377.594
1635777334052,2021-11-01T10:35:34.052,14.114,99381.438
1635777334188,2021-11-01T10:35:34.188,14.250,99385.094
1635777334323,2021-11-01T10:35:34.323,14.385,99382.203
1635777334459,2021-11-01T10:35:34.459,14.521,99382.203
1635777334594,2021-11-01T10:35:34.594,14.656,99386.984
1635777334730,2021-11-01T10:35:34.730,14.792,99383.172
1635777334867,2021-11-01T10:35:34.867,14.929,99382.961
1635777335001,2021-11-01T10:35:35.001,15.063,99382.961
1635777335138,2021-11-01T10:35:35.138,15.200,99380.859
1635777335274,2021-11-01T10:35:35.274,15.336,99380.281
1635777335409,2021-11-01T10:35:35.409,15.471,99380.859
1635777335545,2021-11-01T10:35:35.545,15.607,99380.281
1635777335680,2021-11-01T10:35:35.680,15.742,99382.406
1635777335816,2021-11-01T10:35:35.816,15.878,99384.297
1635777335952,2021-11-01T10:35:35.952,16.014,99382.961
1635777336087,2021-11-01T10:35:36.087,16.149,99379.734
1635777336223,2021-11-01T10:35:36.223,16.285,99381.625
1635777336359,2021-11-01T10:35:36.359,16.421,99379.516
1635777336494,2021-11-01T10:35:36.494,16.556,99378.172
1635777336630,2021-11-01T10:35:36.630,16.692,99378.172
1635777336767,2021-11-01T10:35:36.767,16.829,99378.938
1635777336901,2021-11-01T10:35:36.901,16.963,99383.750
1635777337038,2021-11-01T10:35:37.038,17.100,99382.961
1635777337174,2021-11-01T10:35:37.174,17.236,99383.750
1635777337309,2021-11-01T10:35:37.309,17.371,99380.859
1635777337445,2021-11-01T10:35:37.445,17.507,99381.625
1635777337580,2021-11-01T10:35:37.580,17.642,99378.938
1635777337716,2021-11-01T10:35:37.716,17.778,99380.281
1635777337852,2021-11-01T10:35:37.852,17.914,99377.594
1635777337987,2021-11-01T10:35:37.987,18.049,99379.516
1635777338123,2021-11-01T10:35:38.123,18.185,99377.047
1635777338259,2021-11-01T10:35:38.259,18.321,99385.859
1635777338394,2021-11-01T10:35:38.394,18.456,99382.203
1635777338530,2021-11-01T10:35:38.530,18.592,99385.859
1635777338666,2021-11-01T10:35:38.666,18.728,99382.203
1635777338801,2021-11-01T10:35:38.801,18.863,99383.750
1635777338937,2021-11-01T10:35:38.937,18.999,99380.281
1635777339074,2021-11-01T10:35:39.074,19.136,99378.938
1635777339208,2021-11-01T10:35:39.208,19.270,99380.281
1635777339345,2021-11-01T10:35:39.345,19.407,99377.594
1635777339479,2021-11-01T10:35:39.479,19.541,99384.297
1635777339616,2021-11-01T10:35:39.616,19.678,99380.281
1635777339752,2021-11-01T10:35:39.752,19.814,99378.750
1635777339887,2021-11-01T10:35:39.887,19.949,99379.734
1635777340023,2021-11-01T10:35:40.023,20.085,99380.094
1635777340159,2021-11-01T10:35:40.159,20.221,99376.250
1635777340294,2021-11-01T10:35:40.294,20.356,99380.859
1635777340430,2021-11-01T10:35:40.430,20.492,99378.750
1635777340565,2021-11-01T10:35:40.565,20.627,99379.734
1635777340701,2021-11-01T10:35:40.701,20.763,99378.938
1635777340837,2021-11-01T10:35:40.837,20.899,99381.625
1635777340972,2021-11-01T10:35:40.972,21.034,99376.836
1635777341108,2021-11-01T10:35:41.108,21.170,99385.641
1635777341245,2021-11-01T10:35:41.245,21.307,99391.008
1635777341379,2021-11-01T10:35:41.379,21.441,99382.961
1635777341516,2021-11-01T10:35:41.516,21.578,99382.961
1635777341650,2021-11-01T10:35:41.650,21.712,99383.539
1635777341787,2021-11-01T10:35:41.787,21.849,99380.281
1635777341923,2021-11-01T10:35:41.923,21.985,99378.938
1635777342058,2021-11-01T10:35:42.058,22.120,99383.172
1635777342194,2021-11-01T10:35:42.194,22.256,99383.750
1635777342330,2021-11-01T10:35:42.330,22.392,99381.625
1635777342465,2021-11-01T10:35:42.465,22.527,99378.938
1635777342601,2021-11-01T10:35:42.601,22.663,99383.539
1635777342737,2021-11-01T10:35:42.737,22.799,99380.859
1635777342872,2021-11-01T10:35:42.872,22.934,99382.203
1635777343008,2021-11-01T10:35:43.008,23.070,99380.859
1635777343145,2021-11-01T10:35:43.145,23.207,99381.078
1635777343279,2021-11-01T10:35:43.279,23.341,99378.938
1635777343416,2021-11-01T10:35:43.416,23.478,99380.281
1635777343550,2021-11-01T10:35:43.550,23.612,99380.859
1635777343687,2021-11-01T10:35:43.687,23.749,99379.516
